# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-1.121292e+01 -8.040554e-02 -1.157949e-19)	(5.328197e+00 1.106604e-01 2.041562e-19)
100           	lowerWall	(-6.266184e+00 -1.271985e+00 -6.344063e-19)	(1.027783e+02 7.554674e+02 6.343264e-19)
200           	upperWall	(-7.682698e+00 -1.056426e-01 -1.032970e-18)	(6.066918e+00 2.169368e-02 9.253615e-19)
200           	lowerWall	(-6.581885e+01 -1.016846e+01 -5.833924e-19)	(5.888935e+00 6.456852e-01 9.145680e-19)
300           	upperWall	(-4.510225e+00 -1.309947e-02 -9.850774e-20)	(-9.145535e-01 8.059200e-03 1.165787e-19)
300           	lowerWall	(-1.473105e+02 -2.594425e+00 -7.279620e-19)	(2.211230e+02 5.508658e+02 8.930751e-19)
400           	upperWall	(-4.734298e+00 -2.821574e-03 -2.747373e-20)	(-2.119672e+00 9.404734e-03 1.858149e-20)
400           	lowerWall	(-4.799731e+00 -2.878310e+00 -1.944618e-18)	(1.503670e+00 7.634161e-02 1.477616e-18)
500           	upperWall	(-4.871504e+00 -3.218757e-03 -2.706405e-20)	(-2.115646e+00 1.052618e-02 1.799847e-20)
500           	lowerWall	(-4.879865e+00 -6.869611e+02 -1.331655e-18)	(1.269335e+03 6.267999e+02 1.303832e-18)
600           	upperWall	(-4.907698e+00 -3.001301e-03 -2.502411e-20)	(-2.112662e+00 1.176399e-02 1.836513e-20)
600           	lowerWall	(-7.957577e+01 -6.593464e+03 -1.358664e-18)	(1.489763e+00 1.716915e-01 2.002760e-18)
700           	upperWall	(-5.397998e+00 -3.032381e-03 -2.505913e-20)	(-2.117765e+00 1.362058e-02 1.829639e-20)
700           	lowerWall	(-5.358983e+00 -2.781255e+00 -1.697189e-18)	(1.487205e+00 1.979974e-01 2.720313e-18)
800           	upperWall	(-5.314067e+00 -3.038150e-03 -2.485438e-20)	(-2.118186e+00 1.331375e-02 1.831168e-20)
800           	lowerWall	(-1.761591e+02 -1.291307e+00 -1.563931e-18)	(1.905731e+00 7.087834e+02 2.403893e-18)
900           	upperWall	(-5.314896e+00 -3.040267e-03 -2.468365e-20)	(-2.117312e+00 1.338448e-02 1.829632e-20)
900           	lowerWall	(-1.397225e+02 -3.437990e+02 -1.526851e-18)	(1.483573e+00 5.264532e-01 2.375430e-18)
1000          	upperWall	(-5.311460e+00 -3.046749e-03 -2.467843e-20)	(-2.116494e+00 1.337101e-02 1.828269e-20)
1000          	lowerWall	(-5.302866e+00 -1.051026e+02 -1.467625e-18)	(1.485782e+00 4.076063e-01 2.272813e-18)
1100          	upperWall	(-5.312374e+00 -3.049423e-03 -2.470763e-20)	(-2.116207e+00 1.337342e-02 1.828811e-20)
1100          	lowerWall	(-5.302713e+00 -2.731780e+00 -1.686606e-18)	(2.279131e+00 1.440780e+00 2.704731e-18)
1200          	upperWall	(-5.312139e+00 -3.048098e-03 -2.470607e-20)	(-2.116815e+00 1.337305e-02 1.827679e-20)
1200          	lowerWall	(-1.128649e+04 -5.798420e+04 -1.634674e-18)	(1.483284e+00 1.400607e+03 2.571425e-18)
1300          	upperWall	(-5.312194e+00 -3.049916e-03 -2.471110e-20)	(-2.116609e+00 1.337310e-02 1.828260e-20)
1300          	lowerWall	(-7.627071e+02 -1.472357e+03 -1.558053e-18)	(1.483312e+00 9.294170e-01 2.447731e-18)
1400          	upperWall	(-5.312184e+00 -3.049962e-03 -2.471185e-20)	(-2.116487e+00 1.337310e-02 1.827410e-20)
1400          	lowerWall	(-5.302761e+00 -1.192125e+00 -1.476214e-18)	(2.545532e+00 1.923165e-01 2.293176e-18)
1500          	upperWall	(-5.312182e+00 -3.051851e-03 -2.474073e-20)	(-2.116506e+00 1.337309e-02 1.828065e-20)
1500          	lowerWall	(-5.302756e+00 -2.936178e+00 -1.699859e-18)	(1.483484e+00 9.157846e-01 2.740506e-18)
1600          	upperWall	(-5.312181e+00 -3.050292e-03 -2.471635e-20)	(-2.116453e+00 1.337309e-02 1.828832e-20)
1600          	lowerWall	(-9.707461e+01 -3.889165e+02 -1.663245e-18)	(1.484413e+00 1.685680e+00 2.630865e-18)
1700          	upperWall	(-5.312186e+00 -3.051713e-03 -2.471747e-20)	(-2.116197e+00 1.337309e-02 1.828046e-20)
1700          	lowerWall	(-5.302760e+00 -4.864759e+02 -1.534881e-18)	(4.649790e+01 3.513278e-01 2.415660e-18)
1800          	upperWall	(-5.312183e+00 -3.047014e-03 -2.468589e-20)	(-2.116785e+00 1.337310e-02 1.826123e-20)
1800          	lowerWall	(-5.302758e+00 -2.263250e+01 -1.500821e-18)	(1.483884e+00 2.137969e-01 2.308896e-18)
1900          	upperWall	(-5.312181e+00 -3.050642e-03 -2.472712e-20)	(-2.116472e+00 1.337309e-02 1.828427e-20)
1900          	lowerWall	(-5.302754e+00 -6.415166e+02 -1.637036e-18)	(1.595738e+00 1.879741e-01 2.558325e-18)
2000          	upperWall	(-5.312181e+00 -3.049798e-03 -2.470184e-20)	(-2.116631e+00 1.337309e-02 1.827970e-20)
2000          	lowerWall	(-1.084225e+01 -1.451134e+02 -1.643443e-18)	(1.483154e+00 4.733123e-01 2.593921e-18)
