# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	9.95479782e-02	4.97739891e-02	4.97739891e-02	8.00418744e-01	2.08306944e-01	5.92111800e-01	-1.91902428e-01	-1.17266706e-22	4.58221135e-23	2.46484693e-21	1.27824558e-21	1.18660135e-21
200             	1.13272412e-01	5.66362061e-02	5.66362061e-02	7.17589769e-01	3.03036113e-01	4.14553656e-01	-5.57587719e-02	-1.22375846e-22	2.51006842e-23	2.55806660e-21	1.30413398e-21	1.25393262e-21
300             	1.13858519e-01	5.69292595e-02	5.69292595e-02	7.35114350e-01	3.10071264e-01	4.25043086e-01	-5.74859110e-02	-1.22719415e-22	2.54448414e-23	2.56774445e-21	1.30931707e-21	1.25842738e-21
400             	1.13881041e-01	5.69405203e-02	5.69405203e-02	7.37927838e-01	3.10471544e-01	4.27456294e-01	-5.84923751e-02	-1.22745516e-22	2.54971830e-23	2.56859495e-21	1.30979466e-21	1.25880029e-21
500             	1.13891183e-01	5.69455917e-02	5.69455917e-02	7.38601630e-01	3.10253415e-01	4.28348215e-01	-5.90473999e-02	-1.22746035e-22	2.55089774e-23	2.56861670e-21	1.30981733e-21	1.25879937e-21
600             	1.13898070e-01	5.69490349e-02	5.69490349e-02	7.38821351e-01	3.09994371e-01	4.28826980e-01	-5.94163049e-02	-1.22743035e-22	2.55138390e-23	2.56852444e-21	1.30977606e-21	1.25874838e-21
700             	1.13903053e-01	5.69515266e-02	5.69515266e-02	7.38884347e-01	3.09763270e-01	4.29121077e-01	-5.96789038e-02	-1.22739363e-22	2.55163655e-23	2.56841420e-21	1.30972347e-21	1.25869073e-21
800             	1.13907013e-01	5.69535065e-02	5.69535065e-02	7.38864448e-01	3.09559600e-01	4.29304848e-01	-5.98726238e-02	-1.22735739e-22	2.55177455e-23	2.56830394e-21	1.30966972e-21	1.25863422e-21
900             	1.13910234e-01	5.69551168e-02	5.69551168e-02	7.38791965e-01	3.09376773e-01	4.29415192e-01	-6.00192098e-02	-1.22732174e-22	2.55182466e-23	2.56819477e-21	1.30961563e-21	1.25857914e-21
1000            	1.13912889e-01	5.69564447e-02	5.69564447e-02	7.38684554e-01	3.09209879e-01	4.29474675e-01	-6.01323980e-02	-1.22728695e-22	2.55181200e-23	2.56808762e-21	1.30956193e-21	1.25852569e-21
1100            	1.13915105e-01	5.69575525e-02	5.69575525e-02	7.38553754e-01	3.09055574e-01	4.29498180e-01	-6.02213030e-02	-1.22725308e-22	2.55175168e-23	2.56798277e-21	1.30950890e-21	1.25847387e-21
1200            	1.13916973e-01	5.69584866e-02	5.69584866e-02	7.38407445e-01	3.08911551e-01	4.29495894e-01	-6.02921714e-02	-1.22722015e-22	2.55165511e-23	2.56788043e-21	1.30945676e-21	1.25842366e-21
1300            	1.13918563e-01	5.69592813e-02	5.69592813e-02	7.38251103e-01	3.08776151e-01	4.29474952e-01	-6.03494006e-02	-1.22718818e-22	2.55153097e-23	2.56778072e-21	1.30940567e-21	1.25837505e-21
1400            	1.13919927e-01	5.69599635e-02	5.69599635e-02	7.38088576e-01	3.08648132e-01	4.29440443e-01	-6.03961554e-02	-1.22715716e-22	2.55138593e-23	2.56768369e-21	1.30935570e-21	1.25832798e-21
1500            	1.13921107e-01	5.69605536e-02	5.69605536e-02	7.37922633e-01	3.08526558e-01	4.29396075e-01	-6.04347582e-02	-1.22712708e-22	2.55122522e-23	2.56758936e-21	1.30930693e-21	1.25828243e-21
1600            	1.13922136e-01	5.69610679e-02	5.69610679e-02	7.37755256e-01	3.08410687e-01	4.29344568e-01	-6.04669405e-02	-1.22709791e-22	2.55105289e-23	2.56749771e-21	1.30925938e-21	1.25823833e-21
1700            	1.13923039e-01	5.69615193e-02	5.69615193e-02	7.37587865e-01	3.08299921e-01	4.29287944e-01	-6.04940118e-02	-1.22706964e-22	2.55087215e-23	2.56740870e-21	1.30921307e-21	1.25819563e-21
1800            	1.13923836e-01	5.69619181e-02	5.69619181e-02	7.37421524e-01	3.08193787e-01	4.29227737e-01	-6.05169752e-02	-1.22704224e-22	2.55068555e-23	2.56732227e-21	1.30916799e-21	1.25815428e-21
1900            	1.13924545e-01	5.69622726e-02	5.69622726e-02	7.37256976e-01	3.08091881e-01	4.29165095e-01	-6.05366070e-02	-1.22701568e-22	2.55049509e-23	2.56723837e-21	1.30912414e-21	1.25811423e-21
2000            	1.13925179e-01	5.69625896e-02	5.69625896e-02	7.37094764e-01	3.07993867e-01	4.29100897e-01	-6.05535152e-02	-1.22698993e-22	2.55030235e-23	2.56715691e-21	1.30908148e-21	1.25807543e-21
2100            	1.13925749e-01	5.69628747e-02	5.69628747e-02	7.36935282e-01	3.07899462e-01	4.29035821e-01	-6.05681795e-02	-1.22696496e-22	2.55010864e-23	2.56707784e-21	1.30904001e-21	1.25803783e-21
2200            	1.13926265e-01	5.69631326e-02	5.69631326e-02	7.36778798e-01	3.07808417e-01	4.28970381e-01	-6.05809822e-02	-1.22694074e-22	2.54991495e-23	2.56700107e-21	1.30899968e-21	1.25800138e-21
2300            	1.13926734e-01	5.69633669e-02	5.69633669e-02	7.36625491e-01	3.07720515e-01	4.28904976e-01	-6.05922302e-02	-1.22691725e-22	2.54972209e-23	2.56692652e-21	1.30896048e-21	1.25796604e-21
2400            	1.13927162e-01	5.69635808e-02	5.69635808e-02	7.36475483e-01	3.07635570e-01	4.28839913e-01	-6.06021716e-02	-1.22689445e-22	2.54953069e-23	2.56685412e-21	1.30892237e-21	1.25793176e-21
2500            	1.13927554e-01	5.69637771e-02	5.69637771e-02	7.36328846e-01	3.07553415e-01	4.28775431e-01	-6.06110084e-02	-1.22687233e-22	2.54934128e-23	2.56678381e-21	1.30888532e-21	1.25789849e-21
2600            	1.13927916e-01	5.69639580e-02	5.69639580e-02	7.36185601e-01	3.07473895e-01	4.28711707e-01	-6.06189062e-02	-1.22685086e-22	2.54915423e-23	2.56671550e-21	1.30884929e-21	1.25786621e-21
2700            	1.13928251e-01	5.69641253e-02	5.69641253e-02	7.36045745e-01	3.07396872e-01	4.28648874e-01	-6.06260011e-02	-1.22683000e-22	2.54896985e-23	2.56664913e-21	1.30881426e-21	1.25783487e-21
2800            	1.13928561e-01	5.69642806e-02	5.69642806e-02	7.35909267e-01	3.07322228e-01	4.28587040e-01	-6.06324061e-02	-1.22680975e-22	2.54878839e-23	2.56658463e-21	1.30878020e-21	1.25780443e-21
2900            	1.13928851e-01	5.69644253e-02	5.69644253e-02	7.35776128e-01	3.07249849e-01	4.28526279e-01	-6.06382153e-02	-1.22679007e-22	2.54861002e-23	2.56652194e-21	1.30874707e-21	1.25777487e-21
3000            	1.13929121e-01	5.69645605e-02	5.69645605e-02	7.35646282e-01	3.07179634e-01	4.28466648e-01	-6.06435073e-02	-1.22677095e-22	2.54843488e-23	2.56646099e-21	1.30871484e-21	1.25774615e-21
3100            	1.13929375e-01	5.69646874e-02	5.69646874e-02	7.35519662e-01	3.07111483e-01	4.28408179e-01	-6.06483482e-02	-1.22675237e-22	2.54826305e-23	2.56640173e-21	1.30868349e-21	1.25771823e-21
3200            	1.13929613e-01	5.69648066e-02	5.69648066e-02	7.35396210e-01	3.07045311e-01	4.28350899e-01	-6.06527940e-02	-1.22673430e-22	2.54809460e-23	2.56634409e-21	1.30865299e-21	1.25769110e-21
3300            	1.13929838e-01	5.69649190e-02	5.69649190e-02	7.35275863e-01	3.06981040e-01	4.28294823e-01	-6.06568919e-02	-1.22671674e-22	2.54792956e-23	2.56628802e-21	1.30862331e-21	1.25766472e-21
3400            	1.13930051e-01	5.69650253e-02	5.69650253e-02	7.35158553e-01	3.06918594e-01	4.28239959e-01	-6.06606823e-02	-1.22669966e-22	2.54776796e-23	2.56623348e-21	1.30859442e-21	1.25763906e-21
3500            	1.13932603e-01	5.69663016e-02	5.69663016e-02	7.35040324e-01	3.06855705e-01	4.28184619e-01	-6.06644567e-02	-1.22667678e-22	2.54754847e-23	2.56616637e-21	1.30855867e-21	1.25760770e-21
3600            	1.13932809e-01	5.69664043e-02	5.69664043e-02	7.34928302e-01	3.06797206e-01	4.28131095e-01	-6.06669446e-02	-1.22666108e-22	2.54736657e-23	2.56611473e-21	1.30853103e-21	1.25758370e-21
3700            	1.13931054e-01	5.69655271e-02	5.69655271e-02	7.34823453e-01	3.06741785e-01	4.28081668e-01	-6.06699415e-02	-1.22665200e-22	2.54727647e-23	2.56607905e-21	1.30851229e-21	1.25756676e-21
3800            	1.13931106e-01	5.69655530e-02	5.69655530e-02	7.34719001e-01	3.06685752e-01	4.28033249e-01	-6.06737485e-02	-1.22663538e-22	2.54714696e-23	2.56602850e-21	1.30848572e-21	1.25754278e-21
3900            	1.13931294e-01	5.69656472e-02	5.69656472e-02	7.34615483e-01	3.06631435e-01	4.27984048e-01	-6.06763062e-02	-1.22662048e-22	2.54699969e-23	2.56598079e-21	1.30846039e-21	1.25752040e-21
4000            	1.13931447e-01	5.69657235e-02	5.69657235e-02	7.34514796e-01	3.06578617e-01	4.27936179e-01	-6.06787814e-02	-1.22660597e-22	2.54685816e-23	2.56593439e-21	1.30843578e-21	1.25749861e-21
4100            	1.13931591e-01	5.69657953e-02	5.69657953e-02	7.34416687e-01	3.06527209e-01	4.27889478e-01	-6.06811341e-02	-1.22659184e-22	2.54671991e-23	2.56588920e-21	1.30841180e-21	1.25747740e-21
4200            	1.13931728e-01	5.69658640e-02	5.69658640e-02	7.34321061e-01	3.06477169e-01	4.27843893e-01	-6.06833619e-02	-1.22657809e-22	2.54658485e-23	2.56584519e-21	1.30838845e-21	1.25745675e-21
4300            	1.13931860e-01	5.69659298e-02	5.69659298e-02	7.34227850e-01	3.06428452e-01	4.27799398e-01	-6.06854730e-02	-1.22656469e-22	2.54645293e-23	2.56580233e-21	1.30836569e-21	1.25743664e-21
4400            	1.13931985e-01	5.69659927e-02	5.69659927e-02	7.34136993e-01	3.06381020e-01	4.27755972e-01	-6.06874761e-02	-1.22655164e-22	2.54632408e-23	2.56576058e-21	1.30834353e-21	1.25741705e-21
4500            	1.13932106e-01	5.69660530e-02	5.69660530e-02	7.34048426e-01	3.06334834e-01	4.27713592e-01	-6.06893789e-02	-1.22653894e-22	2.54619825e-23	2.56571990e-21	1.30832193e-21	1.25739797e-21
4600            	1.13932222e-01	5.69661109e-02	5.69661109e-02	7.33962090e-01	3.06289856e-01	4.27672234e-01	-6.06911887e-02	-1.22652656e-22	2.54607538e-23	2.56568028e-21	1.30830089e-21	1.25737938e-21
4700            	1.13932333e-01	5.69661663e-02	5.69661663e-02	7.33877927e-01	3.06246051e-01	4.27631876e-01	-6.06929121e-02	-1.22651450e-22	2.54595540e-23	2.56564167e-21	1.30828039e-21	1.25736128e-21
4800            	1.13932439e-01	5.69662196e-02	5.69662196e-02	7.33795880e-01	3.06203385e-01	4.27592495e-01	-6.06945551e-02	-1.22650275e-22	2.54583826e-23	2.56560405e-21	1.30826041e-21	1.25734364e-21
4900            	1.13932541e-01	5.69662706e-02	5.69662706e-02	7.33715890e-01	3.06161822e-01	4.27554068e-01	-6.06961232e-02	-1.22649130e-22	2.54572389e-23	2.56556740e-21	1.30824094e-21	1.25732646e-21
5000            	1.13932639e-01	5.69663197e-02	5.69663197e-02	7.33637909e-01	3.06121333e-01	4.27516575e-01	-6.06976212e-02	-1.22648015e-22	2.54561224e-23	2.56553167e-21	1.30822196e-21	1.25730972e-21
5100            	1.13930916e-01	5.69654579e-02	5.69654579e-02	7.33561841e-01	3.06082208e-01	4.27479633e-01	-6.06987124e-02	-1.22645906e-22	2.54552970e-23	2.56548199e-21	1.30819629e-21	1.25728570e-21
5200            	1.13924117e-01	5.69620585e-02	5.69620585e-02	7.33484101e-01	3.06042835e-01	4.27441266e-01	-6.06992153e-02	-1.22638009e-22	2.54478202e-23	2.56536056e-21	1.30812810e-21	1.25723246e-21
5300            	1.13924220e-01	5.69621099e-02	5.69621099e-02	7.33411161e-01	3.06006287e-01	4.27404873e-01	-6.06992931e-02	-1.22637036e-22	2.54464659e-23	2.56532844e-21	1.30811069e-21	1.25721776e-21
5400            	1.13924280e-01	5.69621400e-02	5.69621400e-02	7.33341184e-01	3.05969787e-01	4.27371397e-01	-6.07008054e-02	-1.22636028e-22	2.54454835e-23	2.56529625e-21	1.30809361e-21	1.25720264e-21
