# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	DILUPBiCGStab	1.00000000e+00	2.78270600e-09	8	1.00000000e+00	2.39948940e-09	9	false	DILUPBiCGStab	1.00000000e+00	2.58112080e-09	4	true	GAMG	1.00000000e+00	5.97633950e-02	3	true
2               	DILUPBiCGStab	2.86371050e-02	3.95637560e-09	7	1.73203940e-01	4.97820360e-09	8	false	DILUPBiCGStab	8.42367180e-02	1.84935510e-09	4	true	GAMG	4.04241250e-01	2.08687530e-02	1	true
3               	DILUPBiCGStab	1.72845640e-02	8.29558680e-09	8	1.54632470e-01	5.23348560e-09	9	false	DILUPBiCGStab	1.69130320e-02	2.49391050e-09	4	true	GAMG	2.94310780e-01	2.60695680e-02	1	true
4               	DILUPBiCGStab	1.35731920e-02	3.11620440e-09	8	1.26266080e-01	9.78920020e-09	9	false	DILUPBiCGStab	1.06682900e-02	6.86894150e-09	3	true	GAMG	2.55210710e-01	1.25426900e-02	2	true
5               	DILUPBiCGStab	1.67898480e-02	2.69415950e-09	8	1.64178510e-01	8.75688550e-09	8	false	DILUPBiCGStab	6.57603730e-03	3.29048930e-09	3	true	GAMG	2.58687150e-01	2.17114140e-02	1	true
6               	DILUPBiCGStab	1.14723860e-02	5.53040790e-09	6	9.00309740e-02	9.88657190e-09	7	false	DILUPBiCGStab	5.84745030e-03	3.62370270e-09	3	true	GAMG	2.03969350e-01	1.03781000e-02	2	true
7               	DILUPBiCGStab	1.05241540e-02	3.58783790e-09	7	8.40389650e-02	5.91417720e-09	7	false	DILUPBiCGStab	5.00710690e-03	3.11248910e-09	3	true	GAMG	2.78006850e-01	1.68199800e-02	1	true
8               	DILUPBiCGStab	8.18247460e-03	8.60254860e-09	6	5.86804920e-02	1.37377010e-09	8	false	DILUPBiCGStab	4.85164870e-03	2.63520530e-09	3	true	GAMG	1.98925140e-01	1.58203850e-02	1	true
9               	DILUPBiCGStab	6.72150690e-03	6.79405850e-09	6	5.12779060e-02	6.22572870e-09	7	false	DILUPBiCGStab	4.40778530e-03	2.34786950e-09	3	true	GAMG	1.63158570e-01	1.23555920e-02	1	true
10              	DILUPBiCGStab	6.19714730e-03	6.32616580e-09	6	5.11249980e-02	6.82842990e-09	7	false	DILUPBiCGStab	4.24787010e-03	2.19088400e-09	3	true	GAMG	1.14263540e-01	9.27483760e-03	1	true
11              	DILUPBiCGStab	5.82679450e-03	3.89151570e-09	6	5.04611410e-02	6.68627480e-09	7	false	DILUPBiCGStab	3.83247550e-03	2.01254340e-09	3	true	GAMG	1.01398240e-01	8.17506180e-03	1	true
12              	DILUPBiCGStab	5.20144500e-03	9.26662640e-09	5	4.68861580e-02	3.52294120e-09	7	false	DILUPBiCGStab	3.65849970e-03	1.85886820e-09	3	true	GAMG	8.67317200e-02	8.56208570e-03	1	true
13              	DILUPBiCGStab	4.24011250e-03	9.04541280e-09	5	4.09036480e-02	2.56292970e-09	7	false	DILUPBiCGStab	3.39150150e-03	1.67972880e-09	3	true	GAMG	8.81974840e-02	5.88249350e-03	2	true
14              	DILUPBiCGStab	4.36906760e-03	5.34736640e-09	6	3.50922190e-02	1.94398260e-09	7	false	DILUPBiCGStab	3.36539370e-03	1.70784050e-09	3	true	GAMG	1.74577650e-01	1.44537660e-02	1	true
15              	DILUPBiCGStab	3.55841040e-03	3.44084490e-09	6	2.54161890e-02	5.80914070e-09	6	false	DILUPBiCGStab	3.18290310e-03	1.86998930e-09	3	true	GAMG	1.67618430e-01	1.25409570e-02	1	true
16              	DILUPBiCGStab	3.12910920e-03	3.36986950e-09	6	2.36160050e-02	8.30608780e-09	6	false	DILUPBiCGStab	3.06079150e-03	1.88297290e-09	3	true	GAMG	1.50974490e-01	1.04253900e-02	1	true
17              	DILUPBiCGStab	2.71496980e-03	9.68801900e-09	5	2.26055340e-02	9.72459030e-09	6	false	DILUPBiCGStab	2.84050180e-03	1.90175120e-09	3	true	GAMG	1.47866730e-01	1.04687380e-02	1	true
18              	DILUPBiCGStab	2.22338910e-03	9.63100040e-09	5	2.05233510e-02	8.93618300e-09	6	false	DILUPBiCGStab	2.72107760e-03	1.95651220e-09	3	true	GAMG	1.12147490e-01	8.63235740e-03	1	true
19              	DILUPBiCGStab	1.70605080e-03	7.99564650e-09	5	1.75368300e-02	3.78376790e-09	7	false	DILUPBiCGStab	2.51692470e-03	2.05332630e-09	3	true	GAMG	8.42269420e-02	6.88340930e-03	1	true
20              	DILUPBiCGStab	1.57942600e-03	7.43432530e-09	5	1.45579620e-02	4.49338610e-09	7	false	DILUPBiCGStab	2.39824540e-03	2.19254250e-09	3	true	GAMG	6.88790910e-02	5.73168790e-03	1	true
21              	DILUPBiCGStab	1.60218680e-03	7.43599400e-09	5	1.33134430e-02	7.50376250e-09	7	false	DILUPBiCGStab	2.21664370e-03	2.33478580e-09	3	true	GAMG	5.97475800e-02	4.95953050e-03	1	true
22              	DILUPBiCGStab	1.60741180e-03	7.66354110e-09	5	1.32230340e-02	3.71963740e-09	7	false	DILUPBiCGStab	2.13016200e-03	2.46779530e-09	3	true	GAMG	5.36483680e-02	4.27016810e-03	1	true
23              	DILUPBiCGStab	1.56942060e-03	7.87403250e-09	5	1.31378600e-02	8.75679950e-09	6	false	DILUPBiCGStab	2.00331020e-03	2.60647880e-09	3	true	GAMG	4.85168780e-02	3.68449850e-03	1	true
24              	DILUPBiCGStab	1.49245840e-03	8.16359340e-09	5	1.27141310e-02	7.65776610e-09	6	false	DILUPBiCGStab	1.97098680e-03	2.74617200e-09	3	true	GAMG	4.52198340e-02	3.51026650e-03	1	true
