# Wall shear stress
# Time          	patch           	min             	max             
100             	bump	(-2.31134332e+01 -2.83248215e+00 -3.65074576e-17)	(3.54911139e-01 1.35834221e+00 3.57551169e-17)
200             	bump	(-2.30756942e+01 -2.91939649e+00 -3.75842445e-17)	(-2.64144587e+00 1.61504848e+00 3.91538304e-17)
300             	bump	(-2.30622522e+01 -2.92100126e+00 -3.76385174e-17)	(-2.69907377e+00 1.61849461e+00 3.92368284e-17)
400             	bump	(-2.30539037e+01 -2.92108104e+00 -3.76428472e-17)	(-2.69966031e+00 1.61856142e+00 3.92422129e-17)
500             	bump	(-2.30487631e+01 -2.92110032e+00 -3.76427303e-17)	(-2.69978327e+00 1.61857641e+00 3.92424187e-17)
600             	bump	(-2.30455431e+01 -2.92111353e+00 -3.76419941e-17)	(-2.69985681e+00 1.61858395e+00 3.92418966e-17)
700             	bump	(-2.30434835e+01 -2.92111583e+00 -3.76412723e-17)	(-2.69991133e+00 1.61859041e+00 3.92412708e-17)
800             	bump	(-2.30421338e+01 -2.92111874e+00 -3.76405603e-17)	(-2.69995580e+00 1.61859538e+00 3.92406375e-17)
900             	bump	(-2.30412277e+01 -2.92112001e+00 -3.76398677e-17)	(-2.69999173e+00 1.61859943e+00 3.92400056e-17)
1000            	bump	(-2.30406068e+01 -2.92112088e+00 -3.76391981e-17)	(-2.70002143e+00 1.61860281e+00 3.92393832e-17)
1100            	bump	(-2.30401738e+01 -2.92112150e+00 -3.76385518e-17)	(-2.70004626e+00 1.61860568e+00 3.92387730e-17)
1200            	bump	(-2.30398671e+01 -2.92112195e+00 -3.76379280e-17)	(-2.70006725e+00 1.61860814e+00 3.92381769e-17)
1300            	bump	(-2.30396470e+01 -2.92112230e+00 -3.76373263e-17)	(-2.70008514e+00 1.61861028e+00 3.92375958e-17)
1400            	bump	(-2.30394872e+01 -2.92112259e+00 -3.76367458e-17)	(-2.70010053e+00 1.61861216e+00 3.92370303e-17)
1500            	bump	(-2.30393698e+01 -2.92112286e+00 -3.76361857e-17)	(-2.70011386e+00 1.61861383e+00 3.92364805e-17)
1600            	bump	(-2.30392827e+01 -2.92112312e+00 -3.76356450e-17)	(-2.70012551e+00 1.61861533e+00 3.92359465e-17)
1700            	bump	(-2.30392174e+01 -2.92112339e+00 -3.76351229e-17)	(-2.70013575e+00 1.61861670e+00 3.92354281e-17)
1800            	bump	(-2.30391680e+01 -2.92112366e+00 -3.76346185e-17)	(-2.70014482e+00 1.61861794e+00 3.92349249e-17)
1900            	bump	(-2.30391304e+01 -2.92112396e+00 -3.76341311e-17)	(-2.70015290e+00 1.61861909e+00 3.92344366e-17)
2000            	bump	(-2.30391015e+01 -2.92112427e+00 -3.76336598e-17)	(-2.70016014e+00 1.61862016e+00 3.92339629e-17)
2100            	bump	(-2.30390792e+01 -2.92112461e+00 -3.76332039e-17)	(-2.70016668e+00 1.61862116e+00 3.92335031e-17)
2200            	bump	(-2.30390620e+01 -2.92112496e+00 -3.76327627e-17)	(-2.70017260e+00 1.61862210e+00 3.92330570e-17)
2300            	bump	(-2.30390486e+01 -2.92112533e+00 -3.76323355e-17)	(-2.70017800e+00 1.61862299e+00 3.92326241e-17)
2400            	bump	(-2.30390381e+01 -2.92112572e+00 -3.76319218e-17)	(-2.70018294e+00 1.61862384e+00 3.92322039e-17)
2500            	bump	(-2.30390300e+01 -2.92112613e+00 -3.76315209e-17)	(-2.70018749e+00 1.61862465e+00 3.92317959e-17)
2600            	bump	(-2.30390237e+01 -2.92112655e+00 -3.76311323e-17)	(-2.70019169e+00 1.61862542e+00 3.92313998e-17)
2700            	bump	(-2.30390188e+01 -2.92112698e+00 -3.76307555e-17)	(-2.70019560e+00 1.61862617e+00 3.92310151e-17)
2800            	bump	(-2.30390150e+01 -2.92112742e+00 -3.76303899e-17)	(-2.70019923e+00 1.61862688e+00 3.92306414e-17)
2900            	bump	(-2.30390122e+01 -2.92112788e+00 -3.76300352e-17)	(-2.70020263e+00 1.61862758e+00 3.92302784e-17)
3000            	bump	(-2.30390102e+01 -2.92112834e+00 -3.76296909e-17)	(-2.70020582e+00 1.61862825e+00 3.92299256e-17)
3100            	bump	(-2.30390087e+01 -2.92112880e+00 -3.76293565e-17)	(-2.70020882e+00 1.61862890e+00 3.92295826e-17)
3200            	bump	(-2.30390078e+01 -2.92112928e+00 -3.76290318e-17)	(-2.70021164e+00 1.61862953e+00 3.92292493e-17)
3300            	bump	(-2.30390073e+01 -2.92112975e+00 -3.76287163e-17)	(-2.70021432e+00 1.61863014e+00 3.92289251e-17)
3400            	bump	(-2.30390071e+01 -2.92113023e+00 -3.76284097e-17)	(-2.70021686e+00 1.61863074e+00 3.92286099e-17)
3500            	bump	(-2.30390071e+01 -2.92115602e+00 -3.76281214e-17)	(-2.70027686e+00 1.61866669e+00 3.92282076e-17)
3600            	bump	(-2.30390097e+01 -2.92115663e+00 -3.76278515e-17)	(-2.70030135e+00 1.61866729e+00 3.92279383e-17)
3700            	bump	(-2.30390070e+01 -2.92113668e+00 -3.76275648e-17)	(-2.70026886e+00 1.61862526e+00 3.92277487e-17)
3800            	bump	(-2.30390037e+01 -2.92113598e+00 -3.76272637e-17)	(-2.70024353e+00 1.61862210e+00 3.92274243e-17)
3900            	bump	(-2.30390042e+01 -2.92113776e+00 -3.76269955e-17)	(-2.70025242e+00 1.61862412e+00 3.92271498e-17)
4000            	bump	(-2.30390052e+01 -2.92113830e+00 -3.76267362e-17)	(-2.70025462e+00 1.61862451e+00 3.92268822e-17)
4100            	bump	(-2.30390063e+01 -2.92113884e+00 -3.76264838e-17)	(-2.70025659e+00 1.61862488e+00 3.92266216e-17)
4200            	bump	(-2.30390075e+01 -2.92113937e+00 -3.76262381e-17)	(-2.70025849e+00 1.61862524e+00 3.92263678e-17)
4300            	bump	(-2.30390087e+01 -2.92113990e+00 -3.76259990e-17)	(-2.70026032e+00 1.61862559e+00 3.92261207e-17)
4400            	bump	(-2.30390101e+01 -2.92114043e+00 -3.76257662e-17)	(-2.70026209e+00 1.61862592e+00 3.92258801e-17)
