# y+ ()         
# Time          	patch           	min             	max             	average         
100             	bump	1.12704050e-01	3.02932531e+00	1.47871701e+00
200             	bump	1.01686398e+00	3.02685123e+00	1.74957814e+00
300             	bump	1.02789420e+00	3.02596955e+00	1.75481536e+00
400             	bump	1.02800583e+00	3.02542183e+00	1.75496416e+00
500             	bump	1.02802923e+00	3.02508451e+00	1.75503262e+00
600             	bump	1.02804323e+00	3.02487321e+00	1.75507499e+00
700             	bump	1.02805361e+00	3.02473804e+00	1.75510212e+00
800             	bump	1.02806206e+00	3.02464946e+00	1.75512210e+00
900             	bump	1.02806889e+00	3.02459000e+00	1.75513727e+00
1000            	bump	1.02807455e+00	3.02454925e+00	1.75514903e+00
1100            	bump	1.02807927e+00	3.02452082e+00	1.75515831e+00
1200            	bump	1.02808327e+00	3.02450069e+00	1.75516572e+00
1300            	bump	1.02808667e+00	3.02448625e+00	1.75517172e+00
1400            	bump	1.02808960e+00	3.02447576e+00	1.75517663e+00
1500            	bump	1.02809214e+00	3.02446806e+00	1.75518070e+00
1600            	bump	1.02809435e+00	3.02446234e+00	1.75518410e+00
1700            	bump	1.02809630e+00	3.02445805e+00	1.75518696e+00
1800            	bump	1.02809803e+00	3.02445481e+00	1.75518941e+00
1900            	bump	1.02809957e+00	3.02445234e+00	1.75519150e+00
2000            	bump	1.02810095e+00	3.02445044e+00	1.75519332e+00
2100            	bump	1.02810219e+00	3.02444898e+00	1.75519490e+00
2200            	bump	1.02810332e+00	3.02444785e+00	1.75519630e+00
2300            	bump	1.02810434e+00	3.02444697e+00	1.75519753e+00
2400            	bump	1.02810528e+00	3.02444629e+00	1.75519863e+00
2500            	bump	1.02810615e+00	3.02444575e+00	1.75519962e+00
2600            	bump	1.02810695e+00	3.02444534e+00	1.75520052e+00
2700            	bump	1.02810769e+00	3.02444502e+00	1.75520133e+00
2800            	bump	1.02810839e+00	3.02444477e+00	1.75520208e+00
2900            	bump	1.02810903e+00	3.02444459e+00	1.75520276e+00
3000            	bump	1.02810964e+00	3.02444445e+00	1.75520340e+00
3100            	bump	1.02811021e+00	3.02444436e+00	1.75520398e+00
3200            	bump	1.02811075e+00	3.02444429e+00	1.75520453e+00
3300            	bump	1.02811126e+00	3.02444426e+00	1.75520505e+00
3400            	bump	1.02811174e+00	3.02444425e+00	1.75520553e+00
3500            	bump	1.02812302e+00	3.02444425e+00	1.75523072e+00
3600            	bump	1.02812769e+00	3.02444442e+00	1.75523245e+00
3700            	bump	1.02812142e+00	3.02444424e+00	1.75521290e+00
3800            	bump	1.02811659e+00	3.02444403e+00	1.75521059e+00
3900            	bump	1.02811829e+00	3.02444406e+00	1.75521131e+00
4000            	bump	1.02811870e+00	3.02444412e+00	1.75521162e+00
4100            	bump	1.02811908e+00	3.02444420e+00	1.75521191e+00
4200            	bump	1.02811944e+00	3.02444427e+00	1.75521217e+00
4300            	bump	1.02811979e+00	3.02444436e+00	1.75521243e+00
4400            	bump	1.02812012e+00	3.02444444e+00	1.75521267e+00
4500            	bump	1.02812045e+00	3.02444454e+00	1.75521290e+00
4600            	bump	1.02812076e+00	3.02444463e+00	1.75521312e+00
4700            	bump	1.02812107e+00	3.02444472e+00	1.75521333e+00
4800            	bump	1.02812136e+00	3.02444482e+00	1.75521353e+00
4900            	bump	1.02812165e+00	3.02444492e+00	1.75521372e+00
5000            	bump	1.02812193e+00	3.02444501e+00	1.75521390e+00
5100            	bump	1.02812942e+00	3.02444662e+00	1.75520129e+00
5200            	bump	1.02813432e+00	3.02444534e+00	1.75514259e+00
5300            	bump	1.02814084e+00	3.02444554e+00	1.75514449e+00
5400            	bump	1.02813974e+00	3.02444565e+00	1.75514422e+00
5500            	bump	1.02813999e+00	3.02444574e+00	1.75514437e+00
5600            	bump	1.02814022e+00	3.02444582e+00	1.75514452e+00
5700            	bump	1.02814046e+00	3.02444591e+00	1.75514466e+00
5800            	bump	1.02814068e+00	3.02444599e+00	1.75514479e+00
5900            	bump	1.02814090e+00	3.02444607e+00	1.75514491e+00
6000            	bump	1.02814111e+00	3.02444615e+00	1.75514503e+00
6100            	bump	1.02814132e+00	3.02444623e+00	1.75514514e+00
6200            	bump	1.02814152e+00	3.02444630e+00	1.75514525e+00
6300            	bump	1.02814172e+00	3.02444638e+00	1.75514535e+00
6400            	bump	1.02814191e+00	3.02444646e+00	1.75514545e+00
6500            	bump	1.02814209e+00	3.02444653e+00	1.75514555e+00
6600            	bump	1.02814227e+00	3.02444660e+00	1.75514564e+00
6700            	bump	1.02814245e+00	3.02444667e+00	1.75514572e+00
6800            	bump	1.02814262e+00	3.02444674e+00	1.75514580e+00
6900            	bump	1.02814278e+00	3.02444681e+00	1.75514588e+00
7000            	bump	1.02814295e+00	3.02444688e+00	1.75514596e+00
7100            	bump	1.02814310e+00	3.02444694e+00	1.75514603e+00
7200            	bump	1.02814326e+00	3.02444701e+00	1.75514610e+00
7300            	bump	1.02814340e+00	3.02444707e+00	1.75514617e+00
7400            	bump	1.02814355e+00	3.02444713e+00	1.75514623e+00
7500            	bump	1.02814369e+00	3.02444719e+00	1.75514629e+00
7600            	bump	1.02814382e+00	3.02444725e+00	1.75514635e+00
7700            	bump	1.02814396e+00	3.02444731e+00	1.75514641e+00
7800            	bump	1.02814408e+00	3.02444737e+00	1.75514647e+00
7900            	bump	1.02814421e+00	3.02444742e+00	1.75514652e+00
8000            	bump	1.02814433e+00	3.02444747e+00	1.75514657e+00
8100            	bump	1.02814445e+00	3.02444753e+00	1.75514662e+00
8200            	bump	1.02814456e+00	3.02444758e+00	1.75514667e+00
8300            	bump	1.02814467e+00	3.02444763e+00	1.75514672e+00
8400            	bump	1.02814478e+00	3.02444768e+00	1.75514677e+00
8500            	bump	1.02814489e+00	3.02444772e+00	1.75514682e+00
8600            	bump	1.02814499e+00	3.02444777e+00	1.75514686e+00
