# ccx tau_xx tau_yy tau_zz cp
0.00415201 -23.0391 -0.18454 0 0.0376992
0.0125777 -13.0949 -0.0122215 0 0.0284474
0.0212503 -12.4037 -0.00062725 0 0.0286479
0.030177 -12.0217 -0.000574474 0 0.0305079
0.0393652 -11.6826 -0.000531675 0 0.0314314
0.0488227 -11.3817 -0.000503126 0 0.0318547
0.0585574 -11.11 -0.00047205 0 0.0323616
0.0685773 -10.8633 -0.000438057 0 0.0330683
0.0788907 -10.6386 -0.000405409 0 0.0339021
0.0895064 -10.4324 -0.000375806 0 0.0348263
0.100433 -10.2412 -0.00034873 0 0.0358543
0.11168 -10.062 -0.000323164 0 0.0370085
0.123257 -9.89277 -0.000298466 0 0.0383043
0.135172 -9.73149 -0.000274504 0 0.0397564
0.147437 -9.57651 -0.000251575 0 0.0413838
0.160061 -9.42627 -0.000230247 0 0.0432116
0.173056 -9.27932 -0.000211176 0 0.0452705
0.186431 -9.13428 -0.000194929 0 0.0475988
0.200197 -8.98972 -0.000181884 0 0.0502443
0.214368 -8.84408 -0.000172245 0 0.0532679
0.228953 -8.69553 -0.000166144 0 0.0567482
0.243966 -8.54186 -0.000163804 0 0.0607899
0.259419 -8.38003 -0.000165719 0 0.0655333
0.275324 -8.20596 -0.000173109 0 0.0711814
0.291696 -8.01286 -0.000189939 0 0.0780203
0.307571 -7.80034 -0.000402257 1.81544e-42 0.0860708
0.322712 -7.56857 -0.00324155 -2.48255e-37 0.0956223
0.337853 -7.31289 -0.0124242 -6.85915e-26 0.107134
0.352995 -7.04558 -0.0312026 -3.04682e-19 0.120262
0.368136 -6.78388 -0.0617478 6.81418e-19 0.134321
0.383276 -6.54408 -0.104764 -7.53733e-19 0.148413
0.398414 -6.34213 -0.161284 1.46937e-39 0.161755
0.413547 -6.19484 -0.231796 -4.66201e-35 0.17336
0.428673 -6.11392 -0.316842 7.42319e-18 0.182312
0.443787 -6.10965 -0.418199 -1.12357e-25 0.187927
0.458882 -6.19157 -0.537836 7.71051e-18 0.189366
0.473952 -6.36413 -0.677834 -1.10112e-25 0.185992
0.48899 -6.63191 -0.840685 1.10049e-25 0.177266
0.50399 -6.99696 -1.02771 -1.4013e-45 0.162557
0.518947 -7.45977 -1.23938 0 0.141481
0.533859 -8.01983 -1.47384 1.9313e-42 0.113588
0.548726 -8.67188 -1.72519 -4.70198e-38 0.0786635
0.563555 -9.41304 -1.987 -2.93711e-18 0.0365833
0.578351 -10.233 -2.24778 -1.84318e-35 -0.0128423
0.593128 -11.1212 -2.48963 -1.09805e-17 -0.0690179
0.607897 -12.0662 -2.70037 0 -0.131654
0.622675 -13.0385 -2.84947 1.57186e-17 -0.199848
0.637477 -14.0075 -2.92089 2.12485e-17 -0.271772
0.652316 -14.9314 -2.8879 6.04486e-34 -0.346019
0.667204 -15.7562 -2.73321 1.01036e-33 -0.419464
0.682147 -16.435 -2.45004 -3.76216e-17 -0.488985
0.697149 -16.9053 -2.03749 1.74537e-34 -0.55125
0.712205 -17.1171 -1.51722 -5.45209e-34 -0.601848
0.727303 -17.0363 -0.923165 0 -0.63759
0.742431 -16.6464 -0.300095 0 -0.655734
0.757569 -15.9525 0.299144 0 -0.654763
0.772697 -14.9912 0.827926 0 -0.63464
0.787795 -12.8346 1.16037 -3.9248e-34 -0.596917
0.802851 -11.6296 1.42873 3.76158e-37 -0.544888
0.817853 -10.3644 1.57742 3.9219e-17 -0.482265
0.832796 -9.11741 1.61869 1.12847e-36 -0.412787
0.847684 -7.95814 1.57868 -9.86501e-34 -0.340745
0.862523 -6.88779 1.47511 -1.88079e-37 -0.26904
0.877325 -5.92284 1.33197 -1.64319e-17 -0.200276
0.892103 -5.0783 1.16891 -7.52316e-37 -0.136689
0.906872 -4.36315 1.00735 1.29896e-17 -0.0789628
0.921649 -3.78965 0.856314 7.5984e-35 -0.0280856
0.936445 -3.34916 0.727355 1.30936e-18 0.0158981
0.951274 -3.10821 0.633552 0 0.0533407
0.966141 -2.89572 0.543408 6.9396e-18 0.0843342
0.981053 -2.78174 0.470785 -3.0798e-35 0.109532
0.99601 -2.7004 0.402458 1.06618e-17 0.129319
1.01101 -2.75226 0.351825 -5.93842e-18 0.144042
1.02605 -2.92881 0.312819 -1.88079e-37 0.154112
1.04112 -3.10956 0.270333 6.57354e-18 0.159782
1.05621 -3.26653 0.22265 6.65099e-18 0.161414
1.07133 -3.60228 0.185003 0 0.159322
1.08645 -3.89777 0.144361 0 0.153975
1.10159 -4.20805 0.106342 0 0.146012
1.11672 -4.39864 0.0692762 -6.99677e-19 0.136011
1.13186 -4.81945 0.0432651 6.38848e-19 0.124784
1.14701 -4.94182 0.0219671 8.91446e-26 0.113168
1.16215 -5.16625 0.00789246 8.75812e-47 0.101812
1.17729 -5.55038 0.00160125 0 0.0914223
1.19243 -5.7226 0.000169548 0 0.0824307
1.2083 -5.86304 0.000105666 0 0.0745
1.22468 -5.97978 8.95197e-05 0 0.0676631
1.24058 -6.07499 7.6428e-05 0 0.0619521
1.25603 -6.15426 6.58259e-05 0 0.0570478
1.27105 -6.22086 5.7232e-05 0 0.0527962
1.28563 -6.27738 5.02657e-05 0 0.0490773
1.2998 -6.32579 4.46343e-05 0 0.0457957
1.31357 -6.36763 4.00394e-05 0 0.0428762
1.32694 -6.40407 3.61572e-05 0 0.040259
1.33994 -6.43606 3.28618e-05 0 0.0378962
1.35256 -6.46436 3.01008e-05 0 0.0357485
1.36483 -6.48959 2.78093e-05 0 0.0337834
1.37674 -6.51229 2.59383e-05 0 0.0319731
1.38832 -6.5329 2.4459e-05 0 0.0302938
1.39957 -6.55183 2.33642e-05 0 0.0287245
1.41049 -6.56944 2.26737e-05 0 0.0272459
1.42111 -6.5861 2.24406e-05 0 0.02584
1.43142 -6.60217 2.27913e-05 0 0.0244883
1.44144 -6.61813 2.39266e-05 0 0.0231715
1.45118 -6.63445 2.64836e-05 0 0.021864
1.46063 -6.65243 3.11065e-05 0 0.0205393
