# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	1.36551590e-01	6.82757952e-02	6.82757952e-02	8.43192991e-01	1.65653221e-01	6.77539771e-01	-2.55943275e-01	-9.78166585e-23	1.46438468e-22	2.32767052e-21	1.31027373e-21	1.01739679e-21
200             	1.24892800e-01	6.24464000e-02	6.24464000e-02	6.71510612e-01	2.31125951e-01	4.40384661e-01	-1.04629355e-01	-9.72525677e-23	-1.32655471e-22	1.54659051e-21	6.40639786e-22	9.05950727e-22
300             	1.28160973e-01	6.40804863e-02	6.40804863e-02	6.75956922e-01	2.76027094e-01	3.99929828e-01	-6.19513666e-02	-1.04546973e-22	-5.35803248e-23	1.93049613e-21	9.11667740e-22	1.01882839e-21
400             	1.20800082e-01	6.04000408e-02	6.04000408e-02	6.96577160e-01	2.87754663e-01	4.08822498e-01	-6.05339176e-02	-1.05638270e-22	-2.80838555e-23	2.02616598e-21	9.84999136e-22	1.04116685e-21
500             	1.20247947e-01	6.01239735e-02	6.01239735e-02	7.01847731e-01	2.89728034e-01	4.12119697e-01	-6.11958314e-02	-1.05752265e-22	-2.66427758e-23	2.03295803e-21	9.89836239e-22	1.04312179e-21
600             	1.20255264e-01	6.01276320e-02	6.01276320e-02	7.04164053e-01	2.90129838e-01	4.14034215e-01	-6.19521888e-02	-1.05779922e-22	-2.65035847e-23	2.03403204e-21	9.90512433e-22	1.04351960e-21
700             	1.20282929e-01	6.01414644e-02	6.01414644e-02	7.05785575e-01	2.90333445e-01	4.15452130e-01	-6.25593422e-02	-1.05796826e-22	-2.64360841e-23	2.03463481e-21	9.90881321e-22	1.04375349e-21
800             	1.20308055e-01	6.01540276e-02	6.01540276e-02	7.07128521e-01	2.90509967e-01	4.16618554e-01	-6.30542936e-02	-1.05811069e-22	-2.63811417e-23	2.03513553e-21	9.91186621e-22	1.04394890e-21
900             	1.20329998e-01	6.01649992e-02	6.01649992e-02	7.08292486e-01	2.90682752e-01	4.17609734e-01	-6.34634910e-02	-1.05823875e-22	-2.63333285e-23	2.03558319e-21	9.91458267e-22	1.04412492e-21
1000            	1.20349165e-01	6.01745825e-02	6.01745825e-02	7.09318392e-01	2.90852786e-01	4.18465605e-01	-6.38064096e-02	-1.05835557e-22	-2.62909008e-23	2.03599010e-21	9.91704149e-22	1.04428595e-21
1100            	1.20365999e-01	6.01829995e-02	6.01829995e-02	7.10232453e-01	2.91019040e-01	4.19213412e-01	-6.40971859e-02	-1.05846285e-22	-2.62529923e-23	2.03636249e-21	9.91928250e-22	1.04443423e-21
1200            	1.20380862e-01	6.01904309e-02	6.01904309e-02	7.11053802e-01	2.91180626e-01	4.19873176e-01	-6.43462752e-02	-1.05856183e-22	-2.62189218e-23	2.03670497e-21	9.92133563e-22	1.04457141e-21
1300            	1.20394171e-01	6.01970857e-02	6.01970857e-02	7.11797611e-01	2.91337363e-01	4.20460248e-01	-6.45614424e-02	-1.05865354e-22	-2.61881461e-23	2.03702141e-21	9.92322559e-22	1.04469885e-21
1400            	1.20406061e-01	6.02030305e-02	6.02030305e-02	7.12475521e-01	2.91488970e-01	4.20986551e-01	-6.47487908e-02	-1.05873876e-22	-2.61601848e-23	2.03731507e-21	9.92497348e-22	1.04481772e-21
1500            	1.20416717e-01	6.02083583e-02	6.02083583e-02	7.13096440e-01	2.91635189e-01	4.21461251e-01	-6.49130310e-02	-1.05881822e-22	-2.61346870e-23	2.03758819e-21	9.92659410e-22	1.04492878e-21
1600            	1.20426275e-01	6.02131376e-02	6.02131376e-02	7.13665126e-01	2.91774935e-01	4.21890191e-01	-6.50576284e-02	-1.05889214e-22	-2.61114467e-23	2.03784177e-21	9.92809440e-22	1.04503233e-21
1700            	1.20434936e-01	6.02174682e-02	6.02174682e-02	7.14193235e-01	2.91910706e-01	4.22282529e-01	-6.51859116e-02	-1.05896176e-22	-2.60900331e-23	2.03808020e-21	9.92950068e-22	1.04513013e-21
1800            	1.20442794e-01	6.02213968e-02	6.02213968e-02	7.14684880e-01	2.92042331e-01	4.22642549e-01	-6.53001094e-02	-1.05902738e-22	-2.60702840e-23	2.03830460e-21	9.93082017e-22	1.04522259e-21
1900            	1.20449939e-01	6.02249695e-02	6.02249695e-02	7.15143618e-01	2.92169657e-01	4.22973961e-01	-6.54021523e-02	-1.05908928e-22	-2.60520160e-23	2.03851608e-21	9.93206024e-22	1.04531006e-21
