# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	epsilon_solver  	epsilon_initial 	epsilon_final   	epsilon_iters   	epsilon_converged	f_solver        	f_initial       	f_final         	f_iters         	f_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	phit_solver     	phit_initial    	phit_final      	phit_iters      	phit_converged  
1               	DILUPBiCGStab	1.00000000e+00	8.58595300e-09	7	1.00000000e+00	1.28078660e-09	9	false	DILUPBiCGStab	9.99992070e-01	1.44418200e-09	2	true	DICPBiCGStab	1.00000000e+00	3.19172770e-09	1	true	DILUPBiCGStab	1.00000000e+00	4.83997330e-09	2	true	GAMG	1.00000000e+00	5.83130190e-02	3	true	DILUPBiCGStab	1.00000000e+00	2.22737320e-09	3	true
2               	DILUPBiCGStab	2.78265030e-02	4.86377950e-09	7	1.70077130e-01	6.46819580e-09	8	false	DILUPBiCGStab	2.75200090e-01	7.49284680e-09	2	true	DICPBiCGStab	9.83397910e-01	1.58821830e-09	1	true	DILUPBiCGStab	2.54388060e-01	5.92651160e-09	3	true	GAMG	3.97577980e-01	1.72520230e-02	1	true	DILUPBiCGStab	1.88712640e-01	7.90739910e-09	4	true
3               	DILUPBiCGStab	2.01559060e-02	3.94081580e-10	9	2.10050070e-01	3.51962570e-09	9	false	DILUPBiCGStab	1.32766720e-02	1.40873380e-09	2	true	DICPBiCGStab	4.23882970e-01	4.52600470e-09	1	true	DILUPBiCGStab	6.41575220e-02	1.22313070e-09	3	true	GAMG	3.68869570e-01	3.17770740e-02	1	true	DILUPBiCGStab	5.45781290e-02	2.47676940e-09	3	true
4               	DILUPBiCGStab	3.96387000e-02	3.92100170e-09	8	1.77210600e-01	5.21609970e-09	9	false	DILUPBiCGStab	4.58804980e-02	7.82849260e-10	2	true	DICPBiCGStab	2.91477450e-01	4.58210750e-09	1	true	DILUPBiCGStab	2.46488840e-02	1.75063260e-09	2	true	GAMG	3.10605100e-01	1.82585370e-02	2	true	DILUPBiCGStab	3.22545650e-02	3.54407080e-09	3	true
5               	DILUPBiCGStab	1.78234210e-02	5.11216050e-09	7	1.52008450e-01	8.90982160e-09	7	false	DILUPBiCGStab	4.29746920e-03	8.92090560e-10	2	true	DICPBiCGStab	1.24413560e-01	2.81865710e-09	1	true	DILUPBiCGStab	5.12324850e-03	5.16701360e-09	2	true	GAMG	3.03022870e-01	2.75845210e-02	1	true	DILUPBiCGStab	1.98188160e-02	5.55340110e-09	3	true
6               	DILUPBiCGStab	1.17788030e-02	7.06231890e-09	6	8.62483380e-02	1.59373820e-09	8	false	DILUPBiCGStab	1.38748340e-03	1.81302870e-09	2	true	DICPBiCGStab	3.74723080e-02	8.69523020e-10	1	true	DILUPBiCGStab	2.63144240e-03	2.06972540e-09	3	true	GAMG	2.16568420e-01	1.10701020e-02	2	true	DILUPBiCGStab	1.38657090e-02	2.54888180e-09	3	true
7               	DILUPBiCGStab	1.01419130e-02	6.86523330e-09	7	8.03993400e-02	3.43089110e-09	7	false	DILUPBiCGStab	1.87276960e-03	3.88254650e-09	2	true	DICPBiCGStab	1.89778790e-02	9.58820840e-10	1	true	DILUPBiCGStab	1.86278240e-03	3.49067110e-09	3	true	GAMG	2.88650290e-01	1.75544090e-02	1	true	DILUPBiCGStab	1.06426210e-02	1.45304800e-09	3	true
8               	DILUPBiCGStab	7.81272120e-03	9.36669550e-09	6	5.66882540e-02	1.18916050e-09	8	false	DILUPBiCGStab	1.62934420e-03	7.09929190e-09	2	true	DICPBiCGStab	1.17597790e-02	7.36012080e-10	1	true	DILUPBiCGStab	1.35805940e-03	3.96910260e-09	3	true	GAMG	2.16936230e-01	1.64856540e-02	1	true	DILUPBiCGStab	8.62962620e-03	9.99235250e-10	3	true
9               	DILUPBiCGStab	6.50801760e-03	7.62857930e-09	6	4.98265510e-02	6.80131370e-09	7	false	DILUPBiCGStab	1.15481680e-03	7.53036280e-10	2	true	DICPBiCGStab	1.10532600e-02	6.35182440e-10	1	true	DILUPBiCGStab	1.08184220e-03	1.28065270e-09	3	true	GAMG	1.77437660e-01	1.30013480e-02	1	true	DILUPBiCGStab	7.21973600e-03	7.95358180e-10	3	true
10              	DILUPBiCGStab	6.09756710e-03	4.96800440e-09	6	4.98551200e-02	5.18873260e-09	7	false	DILUPBiCGStab	7.35499820e-04	8.73400630e-10	2	true	DICPBiCGStab	8.96377640e-03	5.94929800e-10	1	true	DILUPBiCGStab	9.27043160e-04	4.93453450e-09	3	true	GAMG	1.24275490e-01	9.12889540e-03	1	true	DILUPBiCGStab	6.19729460e-03	8.87699160e-09	2	true
11              	DILUPBiCGStab	5.70970530e-03	8.50901490e-09	6	4.89629960e-02	8.11252250e-09	7	false	DILUPBiCGStab	4.65586170e-04	9.10237050e-10	2	true	DICPBiCGStab	7.00151860e-03	5.56495690e-10	1	true	DILUPBiCGStab	8.34678770e-04	2.37692320e-09	3	true	GAMG	1.11862590e-01	8.28603130e-03	1	true	DILUPBiCGStab	5.47194380e-03	7.85720340e-09	2	true
12              	DILUPBiCGStab	5.06787030e-03	6.64550690e-09	6	4.48613340e-02	5.23702890e-09	7	false	DILUPBiCGStab	3.57087510e-04	8.27429080e-10	2	true	DICPBiCGStab	5.51308020e-03	5.66528450e-10	1	true	DILUPBiCGStab	7.59194220e-04	1.93141780e-09	3	true	GAMG	9.72387890e-02	8.58734970e-03	1	true	DILUPBiCGStab	5.00372150e-03	8.05718360e-09	2	true
13              	DILUPBiCGStab	4.10174540e-03	8.88466170e-09	6	3.88706350e-02	7.51473100e-09	7	false	DILUPBiCGStab	3.02073750e-04	7.53941210e-10	2	true	DICPBiCGStab	4.49326250e-03	6.28180570e-10	1	true	DILUPBiCGStab	6.90917140e-04	1.12342000e-09	3	true	GAMG	9.58177930e-02	9.07166160e-03	1	true	DILUPBiCGStab	4.82939840e-03	8.61303320e-09	2	true
14              	DILUPBiCGStab	3.05478810e-03	6.07017410e-09	6	3.17117290e-02	7.51518530e-09	7	false	DILUPBiCGStab	2.54355780e-04	7.16624500e-10	2	true	DICPBiCGStab	3.87079360e-03	7.02986670e-10	1	true	DILUPBiCGStab	6.33946780e-04	1.98999970e-09	3	true	GAMG	1.01421990e-01	9.61382960e-03	1	true	DILUPBiCGStab	4.76782780e-03	8.81356460e-09	2	true
15              	DILUPBiCGStab	2.72992190e-03	8.21321580e-09	6	2.64952840e-02	7.74270870e-09	7	false	DILUPBiCGStab	2.19704450e-04	7.00022480e-10	2	true	DICPBiCGStab	3.45977710e-03	7.56327450e-10	1	true	DILUPBiCGStab	5.90598190e-04	1.55929320e-09	3	true	GAMG	1.26668560e-01	1.03362800e-02	1	true	DILUPBiCGStab	4.62751830e-03	8.77841780e-09	2	true
16              	DILUPBiCGStab	2.83657320e-03	8.01723910e-09	6	2.37738180e-02	6.64225830e-09	7	false	DILUPBiCGStab	2.04858530e-04	6.97841280e-10	2	true	DICPBiCGStab	3.16292210e-03	7.89509870e-10	1	true	DILUPBiCGStab	5.58725830e-04	1.52404830e-09	3	true	GAMG	1.64732470e-01	1.13875530e-02	1	true	DILUPBiCGStab	4.39369890e-03	1.05873010e-09	3	true
17              	DILUPBiCGStab	2.70062860e-03	6.46822470e-09	5	2.17906810e-02	4.71736920e-09	7	false	DILUPBiCGStab	2.02991590e-04	7.20715080e-10	2	true	DICPBiCGStab	2.92696210e-03	8.26913770e-10	1	true	DILUPBiCGStab	5.33227680e-04	1.55199250e-09	3	true	GAMG	1.81379870e-01	1.10741430e-02	1	true	DILUPBiCGStab	4.35022680e-03	8.45269020e-10	3	true
18              	DILUPBiCGStab	2.45893200e-03	5.58340420e-09	5	1.94929060e-02	6.04180000e-09	7	false	DILUPBiCGStab	2.02942330e-04	7.54659930e-10	2	true	DICPBiCGStab	2.72084210e-03	8.86503780e-10	1	true	DILUPBiCGStab	5.15650190e-04	1.60092750e-09	3	true	GAMG	1.73495840e-01	1.03971810e-02	1	true	DILUPBiCGStab	4.32384640e-03	9.10842290e-10	3	true
19              	DILUPBiCGStab	2.20524210e-03	5.56103860e-09	5	1.72536010e-02	5.46686990e-09	7	false	DILUPBiCGStab	2.02240400e-04	7.83007060e-10	2	true	DICPBiCGStab	2.53611090e-03	9.65134720e-10	1	true	DILUPBiCGStab	5.09457850e-04	1.66147290e-09	3	true	GAMG	1.52490040e-01	1.09494720e-02	1	true	DILUPBiCGStab	4.18628050e-03	9.82447570e-10	3	true
20              	DILUPBiCGStab	1.88378260e-03	5.69552800e-09	5	1.52182170e-02	9.11546860e-10	8	false	DILUPBiCGStab	2.00647050e-04	8.11993750e-10	2	true	DICPBiCGStab	2.37270170e-03	1.05440500e-09	1	true	DILUPBiCGStab	5.06666780e-04	1.74188630e-09	3	true	GAMG	1.22085820e-01	1.04045370e-02	1	true	DILUPBiCGStab	4.08901570e-03	1.04826150e-09	3	true
21              	DILUPBiCGStab	1.45969070e-03	4.75991820e-09	5	1.34938230e-02	9.93367230e-09	6	false	DILUPBiCGStab	1.97789970e-04	8.31023490e-10	2	true	DICPBiCGStab	2.22569650e-03	1.13843100e-09	1	true	DILUPBiCGStab	5.03289910e-04	1.86134210e-09	3	true	GAMG	8.89766680e-02	7.22950410e-03	1	true	DILUPBiCGStab	4.02488840e-03	3.66987360e-09	3	true
