# Wall shear stress
# Time          	patch           	min             	max             
100             	bump	(-2.22441833e+01 -2.47368393e+00 -3.50709061e-17)	(1.50809524e+00 2.36977107e+00 2.80435117e-17)
200             	bump	(-2.25025239e+01 -2.53921610e+00 -3.66810593e-17)	(-5.31137353e+00 1.74561612e+00 3.51341479e-17)
300             	bump	(-2.25625514e+01 -2.54804035e+00 -3.70889998e-17)	(-5.04798027e+00 1.77024813e+00 3.60384141e-17)
400             	bump	(-2.25703362e+01 -2.55002922e+00 -3.71769718e-17)	(-4.74682601e+00 1.77416466e+00 3.61739181e-17)
500             	bump	(-2.25775343e+01 -2.55031016e+00 -3.71925766e-17)	(-4.73844219e+00 1.77467291e+00 3.61953555e-17)
600             	bump	(-2.26075923e+01 -2.55038966e+00 -3.71972054e-17)	(-4.73828466e+00 1.77480167e+00 3.62014064e-17)
700             	bump	(-2.26447813e+01 -2.55042889e+00 -3.72001228e-17)	(-4.73853581e+00 1.77487296e+00 3.62052551e-17)
800             	bump	(-2.26782490e+01 -2.55046728e+00 -3.72025980e-17)	(-4.73878798e+00 1.77493320e+00 3.62085134e-17)
900             	bump	(-2.27085488e+01 -2.55050170e+00 -3.72048398e-17)	(-4.73901989e+00 1.77498672e+00 3.62114391e-17)
1000            	bump	(-2.27354852e+01 -2.55053346e+00 -3.72068982e-17)	(-4.73922409e+00 1.77503471e+00 3.62140984e-17)
1100            	bump	(-2.27590342e+01 -2.55056311e+00 -3.72088007e-17)	(-4.73940694e+00 1.77507825e+00 3.62165321e-17)
1200            	bump	(-2.27794442e+01 -2.55059095e+00 -3.72105668e-17)	(-4.73957203e+00 1.77511804e+00 3.62187702e-17)
1300            	bump	(-2.27971507e+01 -2.55061699e+00 -3.72122117e-17)	(-4.73972201e+00 1.77515457e+00 3.62208370e-17)
1400            	bump	(-2.28125657e+01 -2.55064044e+00 -3.72137470e-17)	(-4.73985582e+00 1.77518739e+00 3.62227504e-17)
1500            	bump	(-2.28260600e+01 -2.55066287e+00 -3.72151850e-17)	(-4.73997791e+00 1.77521780e+00 3.62245284e-17)
1600            	bump	(-2.28379688e+01 -2.55068363e+00 -3.72165288e-17)	(-4.74008960e+00 1.77524564e+00 3.62261790e-17)
1700            	bump	(-2.28485640e+01 -2.55070327e+00 -3.72177992e-17)	(-4.74019138e+00 1.77527150e+00 3.62277270e-17)
1800            	bump	(-2.28580630e+01 -2.55072195e+00 -3.72190011e-17)	(-4.74028649e+00 1.77529567e+00 3.62291811e-17)
1900            	bump	(-2.28666375e+01 -2.55073947e+00 -3.72201385e-17)	(-4.74037388e+00 1.77531808e+00 3.62305482e-17)
2000            	bump	(-2.28744254e+01 -2.55075590e+00 -3.72212167e-17)	(-4.74045440e+00 1.77533887e+00 3.62318356e-17)
2100            	bump	(-2.28815362e+01 -2.55077132e+00 -3.72222405e-17)	(-4.74052866e+00 1.77535817e+00 3.62330505e-17)
2200            	bump	(-2.28880584e+01 -2.55078579e+00 -3.72232141e-17)	(-4.74059727e+00 1.77537611e+00 3.62341990e-17)
2300            	bump	(-2.28940658e+01 -2.55079936e+00 -3.72241417e-17)	(-4.74066075e+00 1.77539281e+00 3.62352867e-17)
2400            	bump	(-2.28996189e+01 -2.55081210e+00 -3.72250265e-17)	(-4.74071943e+00 1.77540834e+00 3.62363185e-17)
2500            	bump	(-2.29047691e+01 -2.55082407e+00 -3.72258719e-17)	(-4.74077384e+00 1.77542282e+00 3.62372988e-17)
2600            	bump	(-2.29095622e+01 -2.55083532e+00 -3.72266806e-17)	(-4.74082436e+00 1.77543634e+00 3.62382316e-17)
2700            	bump	(-2.29140365e+01 -2.55084588e+00 -3.72274551e-17)	(-4.74087121e+00 1.77544893e+00 3.62391204e-17)
2800            	bump	(-2.29182256e+01 -2.55085581e+00 -3.72281975e-17)	(-4.74091475e+00 1.77546070e+00 3.62399681e-17)
2900            	bump	(-2.29221588e+01 -2.55086513e+00 -3.72289101e-17)	(-4.74095520e+00 1.77547169e+00 3.62407778e-17)
3000            	bump	(-2.29258614e+01 -2.55087390e+00 -3.72295952e-17)	(-4.74099285e+00 1.77548197e+00 3.62415525e-17)
3100            	bump	(-2.29293556e+01 -2.55088213e+00 -3.72302545e-17)	(-4.74102785e+00 1.77549158e+00 3.62422947e-17)
3200            	bump	(-2.29326770e+01 -2.55088987e+00 -3.72308894e-17)	(-4.74106038e+00 1.77550055e+00 3.62430061e-17)
3300            	bump	(-2.29358337e+01 -2.55089713e+00 -3.72315017e-17)	(-4.74109072e+00 1.77550895e+00 3.62436891e-17)
