# y+ ()         
# Time          	patch           	min             	max             	average         
100             	bump	2.70844804e-02	2.97181748e+00	1.59817257e+00
200             	bump	1.44287859e+00	2.98902455e+00	1.89878859e+00
300             	bump	1.39830986e+00	2.99300858e+00	1.90657401e+00
400             	bump	1.36048483e+00	2.99352487e+00	1.83160782e+00
500             	bump	1.35928299e+00	2.99400217e+00	1.82500420e+00
600             	bump	1.35926040e+00	2.99599447e+00	1.82477271e+00
700             	bump	1.35929642e+00	2.99845760e+00	1.82485857e+00
800             	bump	1.35933258e+00	3.00067253e+00	1.82494826e+00
900             	bump	1.35936583e+00	3.00267639e+00	1.82502651e+00
1000            	bump	1.35939511e+00	3.00445670e+00	1.82509358e+00
1100            	bump	1.35942133e+00	3.00601226e+00	1.82515131e+00
1200            	bump	1.35944500e+00	3.00735982e+00	1.82520125e+00
1300            	bump	1.35946651e+00	3.00852839e+00	1.82524629e+00
1400            	bump	1.35948570e+00	3.00954536e+00	1.82528615e+00
1500            	bump	1.35950320e+00	3.01043534e+00	1.82532133e+00
1600            	bump	1.35951922e+00	3.01122053e+00	1.82535235e+00
1700            	bump	1.35953381e+00	3.01191894e+00	1.82538023e+00
1800            	bump	1.35954745e+00	3.01254494e+00	1.82540533e+00
1900            	bump	1.35955998e+00	3.01310992e+00	1.82542799e+00
2000            	bump	1.35957152e+00	3.01362297e+00	1.82544855e+00
2100            	bump	1.35958217e+00	3.01409134e+00	1.82546726e+00
2200            	bump	1.35959201e+00	3.01452088e+00	1.82548437e+00
2300            	bump	1.35960111e+00	3.01491645e+00	1.82550006e+00
2400            	bump	1.35960952e+00	3.01528207e+00	1.82551448e+00
2500            	bump	1.35961732e+00	3.01562112e+00	1.82552777e+00
2600            	bump	1.35962457e+00	3.01593663e+00	1.82554006e+00
2700            	bump	1.35963128e+00	3.01623112e+00	1.82555143e+00
2800            	bump	1.35963753e+00	3.01650682e+00	1.82556200e+00
2900            	bump	1.35964332e+00	3.01676565e+00	1.82557182e+00
3000            	bump	1.35964872e+00	3.01700928e+00	1.82558097e+00
3100            	bump	1.35965374e+00	3.01723919e+00	1.82558951e+00
3200            	bump	1.35965841e+00	3.01745770e+00	1.82559751e+00
3300            	bump	1.35966276e+00	3.01766537e+00	1.82560500e+00
3400            	bump	1.35966681e+00	3.01786127e+00	1.82561201e+00
3500            	bump	1.35967060e+00	3.01804710e+00	1.82561859e+00
3600            	bump	1.35967413e+00	3.01822378e+00	1.82562477e+00
3700            	bump	1.35967743e+00	3.01839207e+00	1.82563058e+00
3800            	bump	1.35968050e+00	3.01855261e+00	1.82563605e+00
3900            	bump	1.35968338e+00	3.01870597e+00	1.82564120e+00
4000            	bump	1.35968607e+00	3.01885269e+00	1.82564607e+00
4100            	bump	1.35968857e+00	3.01899323e+00	1.82565066e+00
4200            	bump	1.35969091e+00	3.01912800e+00	1.82565500e+00
4300            	bump	1.35969311e+00	3.01925743e+00	1.82565911e+00
4400            	bump	1.35969515e+00	3.01938183e+00	1.82566299e+00
