# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	9.52100916e-02	4.76050458e-02	4.76050458e-02	8.56219666e-01	1.78597198e-01	6.77622467e-01	-2.49512634e-01	-1.16894255e-22	1.30744682e-22	2.67302066e-21	1.46725501e-21	1.20576565e-21
200             	9.62287222e-02	4.81143611e-02	4.81143611e-02	6.84697056e-01	2.75622194e-01	4.09074862e-01	-6.67263341e-02	-1.15096216e-22	2.96579277e-23	2.45999772e-21	1.25965679e-21	1.20034093e-21
300             	9.93441928e-02	4.96720964e-02	4.96720964e-02	7.06974689e-01	3.09151450e-01	3.97823239e-01	-4.43358946e-02	-1.17038803e-22	1.88692989e-23	2.47366552e-21	1.25570206e-21	1.21796346e-21
400             	9.88585185e-02	4.94292593e-02	4.94292593e-02	7.16758409e-01	3.11160783e-01	4.05597626e-01	-4.72184217e-02	-1.17151437e-22	1.91040794e-23	2.47723391e-21	1.25772103e-21	1.21951288e-21
500             	9.88897461e-02	4.94448730e-02	4.94448730e-02	7.18693210e-01	3.11017117e-01	4.07676093e-01	-4.83294880e-02	-1.17164960e-22	1.91627773e-23	2.47767255e-21	1.25799905e-21	1.21967350e-21
600             	9.89156488e-02	4.94578244e-02	4.94578244e-02	7.19890620e-01	3.10832925e-01	4.09057694e-01	-4.91123845e-02	-1.17172387e-22	1.92039250e-23	2.47791331e-21	1.25816058e-21	1.21975273e-21
700             	9.89363796e-02	4.94681898e-02	4.94681898e-02	7.20798852e-01	3.10700953e-01	4.10097898e-01	-4.96984724e-02	-1.17178621e-22	1.92375838e-23	2.47811342e-21	1.25829430e-21	1.21981913e-21
800             	9.89533930e-02	4.94766965e-02	4.94766965e-02	7.21511868e-01	3.10607459e-01	4.10904408e-01	-5.01484745e-02	-1.17184048e-22	1.92656132e-23	2.47828575e-21	1.25840849e-21	1.21987726e-21
900             	9.89675206e-02	4.94837603e-02	4.94837603e-02	7.22084095e-01	3.10541187e-01	4.11542908e-01	-5.05008602e-02	-1.17188821e-22	1.92892006e-23	2.47843589e-21	1.25850715e-21	1.21992875e-21
1000            	9.89793768e-02	4.94896884e-02	4.94896884e-02	7.22551598e-01	3.10494412e-01	4.12057185e-01	-5.07813863e-02	-1.17193046e-22	1.93092156e-23	2.47856775e-21	1.25859309e-21	1.21997466e-21
1100            	9.89894154e-02	4.94947077e-02	4.94947077e-02	7.22939233e-01	3.10461745e-01	4.12477488e-01	-5.10078712e-02	-1.17196806e-22	1.93263228e-23	2.47868426e-21	1.25866845e-21	1.22001581e-21
1200            	9.89979813e-02	4.94989907e-02	4.94989907e-02	7.23264741e-01	3.10439382e-01	4.12825358e-01	-5.11929882e-02	-1.17200165e-22	1.93410400e-23	2.47878772e-21	1.25873490e-21	1.22005282e-21
1300            	9.90053412e-02	4.95026706e-02	4.95026706e-02	7.23541109e-01	3.10424609e-01	4.13116501e-01	-5.13459459e-02	-1.17203179e-22	1.93537769e-23	2.47888003e-21	1.25879379e-21	1.22008624e-21
1400            	9.90117049e-02	4.95058525e-02	4.95058525e-02	7.23778100e-01	3.10415483e-01	4.13362617e-01	-5.14735673e-02	-1.17205893e-22	1.93648626e-23	2.47896274e-21	1.25884623e-21	1.22011651e-21
1500            	9.90172370e-02	4.95086185e-02	4.95086185e-02	7.23983074e-01	3.10410570e-01	4.13572504e-01	-5.15809669e-02	-1.17208344e-22	1.93745578e-23	2.47903713e-21	1.25889312e-21	1.22014401e-21
1600            	9.90220715e-02	4.95110357e-02	4.95110357e-02	7.24161841e-01	3.10408857e-01	4.13752984e-01	-5.16720637e-02	-1.17210567e-22	1.93830788e-23	2.47910432e-21	1.25893524e-21	1.22016908e-21
1700            	9.90263164e-02	4.95131582e-02	4.95131582e-02	7.24318884e-01	3.10409556e-01	4.13909329e-01	-5.17498866e-02	-1.17212588e-22	1.93906038e-23	2.47916523e-21	1.25897322e-21	1.22019201e-21
1800            	9.90300558e-02	4.95150279e-02	4.95150279e-02	7.24457445e-01	3.10411969e-01	4.14045476e-01	-5.18167535e-02	-1.17214428e-22	1.93972667e-23	2.47922049e-21	1.25900751e-21	1.22021298e-21
1900            	9.90333695e-02	4.95166848e-02	4.95166848e-02	7.24581165e-01	3.10415958e-01	4.14165207e-01	-5.18746244e-02	-1.17216118e-22	1.94032074e-23	2.47927111e-21	1.25903876e-21	1.22023235e-21
1984            	9.90358659e-02	4.95179330e-02	4.95179330e-02	7.24675174e-01	3.10420238e-01	4.14254936e-01	-5.19173492e-02	-1.17217432e-22	1.94077086e-23	2.47931041e-21	1.25906291e-21	1.22024750e-21
