# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	DILUPBiCGStab	1.00000000e+00	8.66469840e-09	7	1.00000000e+00	1.32256300e-09	9	false	DILUPBiCGStab	1.00000000e+00	2.79104890e-09	3	true	DILUPBiCGStab	2.15161950e-02	2.42246190e-09	2	true	GAMG	1.00000000e+00	5.83340600e-02	3	true
2               	DILUPBiCGStab	2.78520220e-02	4.80571260e-09	7	1.70189180e-01	6.49496590e-09	8	false	DILUPBiCGStab	1.52140330e-01	6.67551490e-09	3	true	DILUPBiCGStab	5.73474520e-03	9.66535010e-09	2	true	GAMG	3.97746080e-01	1.72184840e-02	1	true
3               	DILUPBiCGStab	1.68812100e-02	8.89584410e-09	8	1.57849760e-01	5.64019200e-09	9	false	DILUPBiCGStab	1.06392930e-01	2.76605380e-09	3	true	DILUPBiCGStab	2.51260730e-03	1.11426630e-09	2	true	GAMG	3.38209210e-01	2.25468970e-02	1	true
4               	DILUPBiCGStab	1.30240290e-02	4.66432240e-09	8	1.23133150e-01	3.93615890e-09	9	false	DILUPBiCGStab	4.83408200e-02	6.03928490e-09	2	true	DILUPBiCGStab	1.37129460e-03	8.00704890e-09	2	true	GAMG	2.48356640e-01	1.18479080e-02	2	true
5               	DILUPBiCGStab	1.68797210e-02	6.30892110e-09	7	1.73259150e-01	3.58323240e-09	8	false	DILUPBiCGStab	1.57279180e-02	3.37073210e-09	2	true	DILUPBiCGStab	1.10267690e-03	7.51576900e-09	2	true	GAMG	2.49260760e-01	1.94251180e-02	1	true
6               	DILUPBiCGStab	1.14548150e-02	5.45046640e-09	8	9.21050330e-02	4.06757910e-09	8	false	DILUPBiCGStab	6.80160580e-03	2.83615490e-09	2	true	DILUPBiCGStab	8.58575360e-04	6.48966090e-09	2	true	GAMG	1.88622670e-01	1.86505080e-02	1	true
7               	DILUPBiCGStab	9.00726900e-03	7.01014810e-09	7	7.17979080e-02	8.41903680e-09	7	false	DILUPBiCGStab	8.13677240e-03	2.61220350e-09	2	true	DILUPBiCGStab	7.24711350e-04	5.89187840e-09	2	true	GAMG	2.39548240e-01	1.70671400e-02	1	true
8               	DILUPBiCGStab	7.46212790e-03	4.20718330e-10	8	6.10248110e-02	4.03149080e-09	8	false	DILUPBiCGStab	8.01847890e-03	2.22976290e-09	2	true	DILUPBiCGStab	6.17942960e-04	5.35995330e-09	2	true	GAMG	2.03478950e-01	1.58452270e-02	1	true
9               	DILUPBiCGStab	7.11460510e-03	6.63472560e-09	6	5.81970860e-02	9.02154920e-09	7	false	DILUPBiCGStab	6.81950500e-03	1.90295550e-09	2	true	DILUPBiCGStab	5.30584540e-04	4.84790320e-09	2	true	GAMG	1.90275040e-01	1.51900850e-02	1	true
10              	DILUPBiCGStab	7.03910350e-03	8.34770460e-09	7	5.93545310e-02	7.11350080e-09	7	false	DILUPBiCGStab	5.51661870e-03	2.03789110e-09	2	true	DILUPBiCGStab	4.63619330e-04	4.47031140e-09	2	true	GAMG	1.55633550e-01	1.25806930e-02	1	true
11              	DILUPBiCGStab	6.99443590e-03	4.12397050e-09	6	6.09724820e-02	6.70303390e-09	7	false	DILUPBiCGStab	4.47841200e-03	2.44386760e-09	2	true	DILUPBiCGStab	4.05039800e-04	4.26673190e-09	2	true	GAMG	1.18713700e-01	9.05152700e-03	1	true
12              	DILUPBiCGStab	6.69913590e-03	4.26357560e-09	6	6.02477340e-02	6.40927960e-09	7	false	DILUPBiCGStab	3.67003060e-03	3.10517180e-09	2	true	DILUPBiCGStab	3.57363940e-04	4.14123790e-09	2	true	GAMG	1.06106480e-01	7.67454150e-03	1	true
13              	DILUPBiCGStab	5.84217570e-03	5.40047870e-09	6	5.65805790e-02	5.15186250e-09	7	false	DILUPBiCGStab	3.19468560e-03	3.93977190e-09	2	true	DILUPBiCGStab	3.18809120e-04	4.44799550e-09	2	true	GAMG	9.74660430e-02	8.15792260e-03	1	true
14              	DILUPBiCGStab	4.50853770e-03	7.60128970e-09	6	4.99237320e-02	4.96060740e-09	7	false	DILUPBiCGStab	2.79558740e-03	4.60553570e-09	2	true	DILUPBiCGStab	2.87459530e-04	4.91260680e-09	2	true	GAMG	9.48560300e-02	8.89206290e-03	1	true
15              	DILUPBiCGStab	3.36384640e-03	2.58217430e-09	7	4.21527290e-02	4.89196190e-09	7	false	DILUPBiCGStab	2.52221610e-03	5.52501190e-09	2	true	DILUPBiCGStab	2.61490080e-04	5.68028520e-09	2	true	GAMG	1.03062290e-01	9.83489560e-03	1	true
16              	DILUPBiCGStab	3.01707730e-03	2.62413440e-09	7	3.75437270e-02	7.16837130e-09	7	false	DILUPBiCGStab	2.25715880e-03	6.65543800e-09	2	true	DILUPBiCGStab	2.40436270e-04	6.02730340e-09	2	true	GAMG	1.18583040e-01	1.07719250e-02	1	true
17              	DILUPBiCGStab	3.07118900e-03	3.47299650e-09	7	3.53943800e-02	9.95964130e-09	7	false	DILUPBiCGStab	2.03757790e-03	7.26420180e-09	2	true	DILUPBiCGStab	2.22497420e-04	7.29561150e-09	2	true	GAMG	1.27674010e-01	1.17127330e-02	1	true
18              	DILUPBiCGStab	3.06259800e-03	4.40399840e-09	7	3.39131130e-02	5.17711260e-09	8	false	DILUPBiCGStab	1.88260350e-03	7.64622520e-09	2	true	DILUPBiCGStab	2.10675840e-04	7.84994520e-09	2	true	GAMG	1.27973840e-01	1.19615840e-02	1	true
19              	DILUPBiCGStab	3.02581190e-03	6.28579510e-09	7	3.21714050e-02	6.82333770e-09	8	false	DILUPBiCGStab	1.77233710e-03	8.11831960e-09	2	true	DILUPBiCGStab	2.25594320e-04	8.01906910e-09	2	true	GAMG	1.25310340e-01	1.17452570e-02	1	true
20              	DILUPBiCGStab	2.96492900e-03	7.47024590e-09	7	3.16532760e-02	9.44163850e-09	8	false	DILUPBiCGStab	1.66275430e-03	7.75279760e-09	2	true	DILUPBiCGStab	1.95400500e-04	7.83333540e-09	2	true	GAMG	1.26159990e-01	1.15599990e-02	1	true
21              	DILUPBiCGStab	2.90427920e-03	3.38895560e-09	7	3.04812120e-02	1.63453710e-09	9	false	DILUPBiCGStab	1.54649120e-03	1.01633390e-09	3	true	DILUPBiCGStab	1.85892760e-04	7.90076640e-09	2	true	GAMG	1.26021600e-01	1.12090650e-02	1	true
22              	DILUPBiCGStab	2.81031450e-03	8.25836030e-09	7	2.86853420e-02	8.88299080e-09	8	false	DILUPBiCGStab	1.41957420e-03	9.50810160e-09	2	true	DILUPBiCGStab	1.80259320e-04	8.30682020e-09	2	true	GAMG	1.27033150e-01	1.17665320e-02	1	true
23              	DILUPBiCGStab	2.64009390e-03	5.14628290e-09	7	2.83194420e-02	5.66625460e-09	8	false	DILUPBiCGStab	1.25453600e-03	9.86710820e-09	2	true	DILUPBiCGStab	1.72360070e-04	8.12663370e-09	2	true	GAMG	1.21622800e-01	7.11041870e-03	2	true
24              	DILUPBiCGStab	2.74719960e-03	7.57157160e-09	7	3.28281840e-02	7.28931790e-09	8	false	DILUPBiCGStab	1.18251400e-03	1.08504620e-09	3	true	DILUPBiCGStab	1.59890510e-04	7.42216150e-09	2	true	GAMG	9.06321030e-02	8.32202970e-03	1	true
25              	DILUPBiCGStab	2.35295200e-03	4.93875970e-09	8	2.74588280e-02	8.76390000e-09	9	false	DILUPBiCGStab	1.12774580e-03	1.73035660e-09	3	true	DILUPBiCGStab	1.51222990e-04	9.30621450e-09	2	true	GAMG	8.53877100e-02	4.96808420e-03	2	true
26              	DILUPBiCGStab	2.98489930e-03	4.50522200e-09	7	3.14199080e-02	7.68733210e-09	8	false	DILUPBiCGStab	1.07395080e-03	2.51352840e-09	3	true	DILUPBiCGStab	1.46079330e-04	8.98046280e-09	2	true	GAMG	8.09668960e-02	2.82315690e-03	2	true
27              	DILUPBiCGStab	2.95314500e-03	5.01544480e-09	7	3.29178020e-02	8.67602350e-09	8	false	DILUPBiCGStab	1.04532120e-03	3.87709360e-09	3	true	DILUPBiCGStab	1.34650800e-04	1.22869480e-09	2	true	GAMG	7.70712690e-02	7.61753280e-03	1	true
28              	DILUPBiCGStab	2.60667190e-03	3.75554470e-09	8	2.89701620e-02	3.50455920e-09	9	false	DILUPBiCGStab	1.10852470e-03	1.93627240e-09	3	true	DILUPBiCGStab	1.25975510e-04	1.52711890e-09	2	true	GAMG	8.13653820e-02	4.34540730e-03	2	true
29              	DILUPBiCGStab	2.99659770e-03	4.58649740e-09	7	3.23645130e-02	3.79626310e-09	9	false	DILUPBiCGStab	1.12486230e-03	8.93622090e-09	3	true	DILUPBiCGStab	1.21516770e-04	1.68463870e-09	2	true	GAMG	8.74085340e-02	4.05098230e-03	2	true
30              	DILUPBiCGStab	2.76985630e-03	2.94623050e-09	8	3.05511160e-02	3.38791320e-09	9	false	DILUPBiCGStab	1.18618930e-03	3.31889360e-10	4	true	DILUPBiCGStab	1.16536560e-04	2.09709450e-09	2	true	GAMG	8.71468640e-02	8.40177350e-03	1	true
31              	DILUPBiCGStab	2.84477830e-03	6.81377570e-09	8	2.97149090e-02	8.00880940e-09	9	false	DILUPBiCGStab	1.15238370e-03	3.20587760e-09	3	true	DILUPBiCGStab	1.08231390e-04	2.18631810e-09	2	true	GAMG	8.55818820e-02	4.27502820e-03	2	true
32              	DILUPBiCGStab	2.98344170e-03	4.14407760e-09	7	3.23376300e-02	4.56752760e-09	9	false	DILUPBiCGStab	1.14101210e-03	3.59831770e-09	3	true	DILUPBiCGStab	1.02654460e-04	2.32358500e-09	2	true	GAMG	8.56520720e-02	8.20848630e-03	1	true
33              	DILUPBiCGStab	2.71309600e-03	7.65710850e-09	7	2.82447440e-02	9.24095100e-09	8	false	DILUPBiCGStab	1.12093310e-03	3.74521170e-09	3	true	DILUPBiCGStab	9.42507700e-05	2.23169490e-09	2	true	GAMG	8.49498870e-02	3.28365320e-03	2	true
34              	DILUPBiCGStab	2.73658390e-03	3.74782050e-09	7	2.96319100e-02	9.43158900e-09	8	false	DILUPBiCGStab	1.08825920e-03	4.34426110e-09	3	true	DILUPBiCGStab	8.75501550e-05	2.10598210e-09	2	true	GAMG	7.79321380e-02	7.33843150e-03	1	true
35              	DILUPBiCGStab	2.27958150e-03	5.80228770e-09	7	2.50658840e-02	9.52520310e-09	8	false	DILUPBiCGStab	1.04727660e-03	4.09667000e-09	3	true	DILUPBiCGStab	8.10831010e-05	1.78787980e-09	2	true	GAMG	7.79530280e-02	2.63877610e-03	2	true
36              	DILUPBiCGStab	2.20376590e-03	9.47726260e-09	7	2.50252050e-02	9.81335850e-09	8	false	DILUPBiCGStab	1.06879180e-03	4.49144270e-09	3	true	DILUPBiCGStab	7.75160770e-05	1.61443700e-09	2	true	GAMG	6.50068290e-02	6.43863410e-03	1	true
37              	DILUPBiCGStab	1.80837290e-03	9.79997820e-09	7	2.01925890e-02	8.75201480e-09	8	false	DILUPBiCGStab	1.05377860e-03	5.22564790e-09	3	true	DILUPBiCGStab	7.39594170e-05	1.26985720e-09	2	true	GAMG	5.95623460e-02	2.56436100e-03	2	true
38              	DILUPBiCGStab	1.78986100e-03	6.36005310e-09	7	2.14268250e-02	7.91694640e-09	8	false	DILUPBiCGStab	1.14735140e-03	7.03095880e-09	3	true	DILUPBiCGStab	7.13676780e-05	9.97179770e-10	2	true	GAMG	4.92160380e-02	2.19493500e-03	2	true
39              	DILUPBiCGStab	1.50610960e-03	8.67598530e-09	6	1.88985670e-02	8.86238980e-09	8	false	DILUPBiCGStab	1.13522860e-03	4.90330830e-09	3	true	DILUPBiCGStab	6.93856280e-05	7.78365160e-09	2	true	GAMG	4.02318400e-02	1.88677280e-03	2	true
40              	DILUPBiCGStab	1.37238250e-03	4.85247550e-09	7	1.79067390e-02	4.57388440e-09	8	false	DILUPBiCGStab	1.17021870e-03	4.12081690e-09	3	true	DILUPBiCGStab	6.48610210e-05	6.97688010e-09	2	true	GAMG	3.50465580e-02	1.61399470e-03	2	true
41              	DILUPBiCGStab	1.28993100e-03	6.53423870e-09	7	1.75117480e-02	4.61320140e-09	8	false	DILUPBiCGStab	1.22068820e-03	3.70234480e-09	3	true	DILUPBiCGStab	6.36304630e-05	5.25921230e-09	2	true	GAMG	3.23499010e-02	1.40789930e-03	2	true
42              	DILUPBiCGStab	1.26956960e-03	7.40812560e-09	6	1.70876060e-02	5.85229630e-09	8	false	DILUPBiCGStab	1.27129050e-03	3.76460670e-09	3	true	DILUPBiCGStab	5.94355850e-05	4.69764900e-09	2	true	GAMG	3.11085380e-02	1.27698080e-03	2	true
43              	DILUPBiCGStab	1.25295240e-03	3.79616830e-09	7	1.67970080e-02	6.04417270e-09	8	false	DILUPBiCGStab	1.32535650e-03	4.07448800e-09	3	true	DILUPBiCGStab	5.70251610e-05	4.20468080e-09	2	true	GAMG	2.92047330e-02	1.17255330e-03	2	true
44              	DILUPBiCGStab	1.22610260e-03	8.39101200e-09	6	1.66450910e-02	5.77337420e-09	8	false	DILUPBiCGStab	1.37269160e-03	4.35146540e-09	3	true	DILUPBiCGStab	5.55731630e-05	3.85118610e-09	2	true	GAMG	2.70718980e-02	1.07115020e-03	2	true
45              	DILUPBiCGStab	1.19335960e-03	9.08416250e-09	6	1.64121830e-02	5.74388710e-09	8	false	DILUPBiCGStab	1.41190860e-03	4.58627160e-09	3	true	DILUPBiCGStab	5.22527040e-05	3.76825910e-09	2	true	GAMG	2.51468530e-02	9.56288450e-04	2	true
46              	DILUPBiCGStab	1.15294090e-03	8.00071780e-09	6	1.62799330e-02	3.10726840e-09	9	false	DILUPBiCGStab	1.45023410e-03	4.84140000e-09	3	true	DILUPBiCGStab	5.10060470e-05	3.54161330e-09	2	true	GAMG	2.39951930e-02	8.52925930e-04	2	true
