# Wall shear stress
# Time          	patch           	min             	max             
100             	bump	(-2.20511349e+01 -2.21529431e+00 -3.73006940e-17)	(1.83659779e+00 1.08952206e+00 3.25860346e-17)
200             	bump	(-2.20409038e+01 -2.31984639e+00 -3.90813252e-17)	(-2.79275231e+00 1.41155276e+00 3.87448225e-17)
300             	bump	(-2.20540104e+01 -2.32611774e+00 -3.93477189e-17)	(-2.84952907e+00 1.43160961e+00 3.92339589e-17)
400             	bump	(-2.20582279e+01 -2.32654863e+00 -3.93682279e-17)	(-2.85212936e+00 1.43238573e+00 3.92595510e-17)
500             	bump	(-2.20593713e+01 -2.32661231e+00 -3.93704077e-17)	(-2.85252085e+00 1.43247589e+00 3.92630056e-17)
600             	bump	(-2.20597681e+01 -2.32665469e+00 -3.93715224e-17)	(-2.85281107e+00 1.43253419e+00 3.92650626e-17)
700             	bump	(-2.20599849e+01 -2.32669004e+00 -3.93724719e-17)	(-2.85304245e+00 1.43258183e+00 3.92667909e-17)
800             	bump	(-2.20601349e+01 -2.32672101e+00 -3.93733166e-17)	(-2.85323780e+00 1.43262281e+00 3.92682903e-17)
900             	bump	(-2.20602501e+01 -2.32674822e+00 -3.93740743e-17)	(-2.85340223e+00 1.43265809e+00 3.92696026e-17)
1000            	bump	(-2.20603451e+01 -2.32677227e+00 -3.93747574e-17)	(-2.85354183e+00 1.43268866e+00 3.92707585e-17)
1100            	bump	(-2.20604273e+01 -2.32679361e+00 -3.93753751e-17)	(-2.85366116e+00 1.43271531e+00 3.92717820e-17)
1200            	bump	(-2.20604999e+01 -2.32681263e+00 -3.93759352e-17)	(-2.85376383e+00 1.43273866e+00 3.92726921e-17)
1300            	bump	(-2.20605650e+01 -2.32682963e+00 -3.93764444e-17)	(-2.85385267e+00 1.43275922e+00 3.92735048e-17)
1400            	bump	(-2.20606239e+01 -2.32684490e+00 -3.93769083e-17)	(-2.85392993e+00 1.43277739e+00 3.92742332e-17)
1500            	bump	(-2.20606776e+01 -2.32685863e+00 -3.93773320e-17)	(-2.85399751e+00 1.43279353e+00 3.92748885e-17)
1600            	bump	(-2.20607266e+01 -2.32687104e+00 -3.93777201e-17)	(-2.85405686e+00 1.43280790e+00 3.92754801e-17)
1700            	bump	(-2.20607715e+01 -2.32688227e+00 -3.93780764e-17)	(-2.85410922e+00 1.43282076e+00 3.92760159e-17)
1800            	bump	(-2.20608128e+01 -2.32689244e+00 -3.93784033e-17)	(-2.85415544e+00 1.43283226e+00 3.92765018e-17)
1900            	bump	(-2.20608508e+01 -2.32690172e+00 -3.93787061e-17)	(-2.85419661e+00 1.43284264e+00 3.92769459e-17)
1984            	bump	(-2.20608805e+01 -2.32690888e+00 -3.93789432e-17)	(-2.85422779e+00 1.43285058e+00 3.92772898e-17)
