# y+ ()         
# Time          	patch           	min             	max             	average         
100             	bump	1.76033801e-01	2.95889399e+00	1.37965567e+00
200             	bump	1.04154681e+00	2.95820750e+00	1.65363477e+00
300             	bump	1.05417709e+00	2.95908690e+00	1.65562124e+00
400             	bump	1.05465783e+00	2.95936983e+00	1.64910925e+00
500             	bump	1.05473018e+00	2.95944653e+00	1.64920195e+00
600             	bump	1.05478381e+00	2.95947315e+00	1.64929707e+00
700             	bump	1.05482657e+00	2.95948769e+00	1.64936673e+00
800             	bump	1.05486267e+00	2.95949775e+00	1.64942037e+00
900             	bump	1.05489305e+00	2.95950547e+00	1.64946247e+00
1000            	bump	1.05491885e+00	2.95951185e+00	1.64949617e+00
1100            	bump	1.05494090e+00	2.95951736e+00	1.64952360e+00
1200            	bump	1.05495987e+00	2.95952223e+00	1.64954624e+00
1300            	bump	1.05497628e+00	2.95952660e+00	1.64956516e+00
1400            	bump	1.05499056e+00	2.95953055e+00	1.64958112e+00
1500            	bump	1.05500305e+00	2.95953415e+00	1.64959473e+00
1600            	bump	1.05501401e+00	2.95953744e+00	1.64960642e+00
1700            	bump	1.05502369e+00	2.95954045e+00	1.64961654e+00
1800            	bump	1.05503223e+00	2.95954322e+00	1.64962534e+00
1900            	bump	1.05503983e+00	2.95954577e+00	1.64963306e+00
1984            	bump	1.05504559e+00	2.95954776e+00	1.64963884e+00
