# Momentum, Angular Momentum
# origin      : (0.000000e+00 0.000000e+00 0.000000e+00)
# axis        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(momentum_x momentum_y momentum_z)	(momentum_r momentum_rtheta momentum_axis)	volume        
10            	(1.929480e+00 6.847108e-02 5.082139e-03)	(5.860682e-03 -7.575025e-02 1.929480e+00)	1.931354e+00
20            	(1.930141e+00 1.253512e-01 9.125792e-03)	(1.045371e-02 -1.387125e-01 1.930141e+00)	1.931354e+00
30            	(1.929829e+00 1.792667e-01 1.287563e-02)	(1.462883e-02 -1.983621e-01 1.929829e+00)	1.931354e+00
40            	(1.930266e+00 2.318471e-01 1.629363e-02)	(1.841128e-02 -2.564776e-01 1.930266e+00)	1.931354e+00
50            	(1.930314e+00 2.836964e-01 1.928780e-02)	(2.173544e-02 -3.137592e-01 1.930314e+00)	1.931354e+00
60            	(1.930497e+00 3.351966e-01 2.177968e-02)	(2.454576e-02 -3.705907e-01 1.930497e+00)	1.931354e+00
70            	(1.930645e+00 3.865638e-01 2.387345e-02)	(2.695634e-02 -4.273299e-01 1.930645e+00)	1.931354e+00
80            	(1.930894e+00 4.381659e-01 2.582463e-02)	(2.921849e-02 -4.843146e-01 1.930894e+00)	1.931354e+00
90            	(1.931302e+00 4.897736e-01 2.791279e-02)	(3.162946e-02 -5.413965e-01 1.931302e+00)	1.931354e+00
100           	(1.931540e+00 5.409044e-01 3.018565e-02)	(3.422294e-02 -5.979798e-01 1.931540e+00)	1.931354e+00
110           	(1.931791e+00 5.899442e-01 3.258584e-02)	(3.692644e-02 -6.521941e-01 1.931791e+00)	1.931354e+00
120           	(1.932020e+00 6.335740e-01 3.485137e-02)	(3.944811e-02 -7.004113e-01 1.932020e+00)	1.931354e+00
130           	(1.932253e+00 6.682687e-01 3.669449e-02)	(4.150746e-02 -7.388128e-01 1.932253e+00)	1.931354e+00
140           	(1.932336e+00 6.934138e-01 3.786904e-02)	(4.282781e-02 -7.666069e-01 1.932336e+00)	1.931354e+00
150           	(1.932348e+00 7.112617e-01 3.840927e-02)	(4.344694e-02 -7.863212e-01 1.932348e+00)	1.931354e+00
160           	(1.932355e+00 7.243612e-01 3.856232e-02)	(4.363462e-02 -8.007260e-01 1.932355e+00)	1.931354e+00
170           	(1.932374e+00 7.341676e-01 3.861554e-02)	(4.371777e-02 -8.115038e-01 1.932374e+00)	1.931354e+00
180           	(1.932359e+00 7.413412e-01 3.864495e-02)	(4.376956e-02 -8.193810e-01 1.932359e+00)	1.931354e+00
190           	(1.932366e+00 7.462668e-01 3.868149e-02)	(4.382688e-02 -8.247764e-01 1.932366e+00)	1.931354e+00
200           	(1.932363e+00 7.495507e-01 3.869650e-02)	(4.385703e-02 -8.283613e-01 1.932363e+00)	1.931354e+00
210           	(1.932351e+00 7.516431e-01 3.875001e-02)	(4.392662e-02 -8.306634e-01 1.932351e+00)	1.931354e+00
220           	(1.932358e+00 7.529253e-01 3.879966e-02)	(4.398299e-02 -8.320818e-01 1.932358e+00)	1.931354e+00
230           	(1.932365e+00 7.537243e-01 3.883208e-02)	(4.401820e-02 -8.329642e-01 1.932365e+00)	1.931354e+00
239           	(1.932360e+00 7.542331e-01 3.883549e-02)	(4.402070e-02 -8.335263e-01 1.932360e+00)	1.931354e+00
