# Value averages
# Time        	average(p)    
1	3.666992e+03
2	4.511329e+03
3	4.198582e+03
4	3.152051e+03
5	2.190310e+03
6	1.612400e+03
7	1.473114e+03
8	1.518797e+03
9	1.557238e+03
10	1.522644e+03
11	1.415490e+03
12	1.288691e+03
13	1.187143e+03
14	1.136989e+03
15	1.126247e+03
16	1.118633e+03
17	1.106512e+03
18	1.077392e+03
19	1.040117e+03
20	1.006051e+03
21	9.812555e+02
22	9.674011e+02
23	9.575995e+02
24	9.481081e+02
25	9.376911e+02
26	9.222991e+02
27	9.065398e+02
28	8.920746e+02
29	8.815823e+02
30	8.740313e+02
31	8.672168e+02
32	8.610558e+02
33	8.552003e+02
34	8.479794e+02
35	8.403974e+02
36	8.332441e+02
37	8.267417e+02
38	8.221674e+02
39	8.181851e+02
40	8.145045e+02
41	8.110173e+02
42	8.076696e+02
43	8.037721e+02
44	7.999964e+02
45	7.963975e+02
46	7.930792e+02
47	7.904931e+02
48	7.882616e+02
49	7.861605e+02
50	7.841475e+02
51	7.822068e+02
52	7.802829e+02
53	7.781731e+02
54	7.761408e+02
55	7.742093e+02
56	7.726545e+02
57	7.712160e+02
58	7.698591e+02
59	7.685649e+02
60	7.673248e+02
61	7.661332e+02
62	7.649834e+02
63	7.638700e+02
64	7.627912e+02
65	7.617455e+02
66	7.607324e+02
67	7.597524e+02
68	7.588066e+02
69	7.578962e+02
70	7.570269e+02
71	7.562113e+02
72	7.554532e+02
73	7.547368e+02
74	7.540478e+02
75	7.533816e+02
76	7.527361e+02
77	7.521091e+02
78	7.514987e+02
79	7.509042e+02
80	7.503247e+02
81	7.497600e+02
82	7.492096e+02
83	7.486733e+02
84	7.481510e+02
85	7.476428e+02
86	7.471497e+02
87	7.466728e+02
88	7.462152e+02
89	7.457811e+02
90	7.453731e+02
91	7.449861e+02
92	7.446130e+02
93	7.442516e+02
94	7.439006e+02
95	7.435590e+02
96	7.432259e+02
97	7.429010e+02
98	7.425840e+02
99	7.422747e+02
100	7.419734e+02
101	7.416802e+02
102	7.413956e+02
103	7.411205e+02
104	7.408556e+02
105	7.406022e+02
106	7.403616e+02
107	7.401338e+02
108	7.399170e+02
109	7.397090e+02
110	7.395084e+02
111	7.393148e+02
112	7.391276e+02
113	7.389465e+02
114	7.387710e+02
115	7.386013e+02
116	7.384365e+02
117	7.382768e+02
118	7.381222e+02
119	7.379727e+02
120	7.378283e+02
121	7.376894e+02
122	7.375565e+02
123	7.374306e+02
124	7.373116e+02
125	7.371984e+02
126	7.370898e+02
127	7.369851e+02
128	7.368838e+02
129	7.367857e+02
130	7.366908e+02
131	7.365989e+02
132	7.365100e+02
133	7.364239e+02
134	7.363405e+02
135	7.362601e+02
136	7.361827e+02
137	7.361086e+02
138	7.360380e+02
139	7.359709e+02
140	7.359072e+02
141	7.358465e+02
142	7.357885e+02
143	7.357329e+02
144	7.356798e+02
145	7.356290e+02
146	7.355803e+02
147	7.355336e+02
148	7.354888e+02
149	7.354455e+02
150	7.354038e+02
151	7.353635e+02
152	7.353248e+02
153	7.352876e+02
154	7.352521e+02
155	7.352183e+02
156	7.351862e+02
157	7.351559e+02
158	7.351272e+02
159	7.351002e+02
160	7.350748e+02
161	7.350507e+02
162	7.350280e+02
163	7.350065e+02
164	7.349861e+02
165	7.349667e+02
166	7.349483e+02
167	7.349308e+02
168	7.349142e+02
169	7.348985e+02
170	7.348836e+02
171	7.348695e+02
172	7.348562e+02
173	7.348438e+02
174	7.348321e+02
175	7.348213e+02
176	7.348114e+02
177	7.348023e+02
178	7.347940e+02
179	7.347865e+02
180	7.347798e+02
181	7.347737e+02
182	7.347684e+02
183	7.347636e+02
184	7.347595e+02
185	7.347558e+02
186	7.347527e+02
187	7.347500e+02
188	7.347477e+02
189	7.347459e+02
190	7.347445e+02
191	7.347434e+02
192	7.347427e+02
193	7.347424e+02
194	7.347424e+02
195	7.347428e+02
196	7.347436e+02
197	7.347448e+02
198	7.347463e+02
199	7.347482e+02
200	7.347504e+02
201	7.347530e+02
202	7.347559e+02
203	7.347592e+02
204	7.347627e+02
205	7.347664e+02
206	7.347704e+02
207	7.347747e+02
208	7.347791e+02
208	7.347835e+02
