# Region type : functionObjectSurface sampled.plane2
# Faces       : 1600
# Area        : 5.000000e-03
# Scale factor: 1.000000e+00
# Time        	uniformity(U)	uniformity(p)
1             	9.769285e-01	9.986459e-01
2             	9.774246e-01	9.965405e-01
3             	9.771785e-01	9.927703e-01
4             	9.767532e-01	9.878512e-01
5             	9.763972e-01	9.810635e-01
6             	9.758430e-01	9.738337e-01
7             	9.747477e-01	9.717102e-01
8             	9.731100e-01	9.733636e-01
9             	9.709480e-01	9.738164e-01
10            	9.682646e-01	9.514689e-01
11            	9.651437e-01	9.521102e-01
12            	9.617634e-01	9.473868e-01
13            	9.577540e-01	9.471255e-01
14            	9.533818e-01	9.445758e-01
15            	9.487652e-01	9.394897e-01
16            	9.440676e-01	9.348560e-01
17            	9.392732e-01	9.318464e-01
18            	9.345020e-01	9.284393e-01
19            	9.297872e-01	9.246732e-01
20            	9.251561e-01	9.191312e-01
21            	9.206345e-01	9.142131e-01
22            	9.162281e-01	9.076690e-01
23            	9.120039e-01	9.004930e-01
24            	9.079941e-01	8.940599e-01
25            	9.041740e-01	8.884887e-01
26            	9.005901e-01	8.833402e-01
27            	8.972331e-01	8.781909e-01
28            	8.940749e-01	8.702967e-01
29            	8.911058e-01	8.627392e-01
30            	8.882966e-01	8.548229e-01
31            	8.856457e-01	8.474890e-01
32            	8.831195e-01	8.389047e-01
33            	8.807043e-01	8.306781e-01
34            	8.783834e-01	8.217275e-01
35            	8.761791e-01	8.170538e-01
36            	8.740271e-01	8.109209e-01
37            	8.719481e-01	8.028171e-01
38            	8.699212e-01	7.945606e-01
39            	8.679688e-01	7.854708e-01
40            	8.660750e-01	7.759035e-01
41            	8.642221e-01	7.648064e-01
42            	8.623855e-01	7.530203e-01
43            	8.605830e-01	7.397754e-01
44            	8.588027e-01	7.249562e-01
45            	8.570483e-01	7.077254e-01
46            	8.552702e-01	6.866005e-01
47            	8.535055e-01	6.628052e-01
48            	8.517395e-01	6.337760e-01
49            	8.499708e-01	5.999851e-01
50            	8.482260e-01	5.577244e-01
51            	8.464801e-01	4.964410e-01
52            	8.447330e-01	4.292472e-01
53            	8.429578e-01	3.483676e-01
54            	8.411531e-01	2.480014e-01
55            	8.393134e-01	1.075252e-01
56            	8.374350e-01	0.000000e+00
57            	8.355168e-01	0.000000e+00
58            	8.335489e-01	0.000000e+00
59            	8.315540e-01	0.000000e+00
60            	8.295327e-01	0.000000e+00
61            	8.274885e-01	0.000000e+00
62            	8.254446e-01	0.000000e+00
63            	8.233506e-01	0.000000e+00
64            	8.212111e-01	0.000000e+00
65            	8.190212e-01	1.356514e-01
66            	8.167803e-01	2.640619e-01
67            	8.145090e-01	3.516975e-01
68            	8.122345e-01	4.194329e-01
69            	8.099485e-01	4.883162e-01
70            	8.076479e-01	5.393851e-01
71            	8.052960e-01	5.898229e-01
72            	8.029002e-01	6.199024e-01
73            	8.004684e-01	6.472372e-01
74            	7.979968e-01	6.729193e-01
75            	7.955064e-01	6.944836e-01
76            	7.929953e-01	7.134969e-01
77            	7.904667e-01	7.270047e-01
78            	7.879124e-01	7.390148e-01
79            	7.853391e-01	7.485382e-01
80            	7.827035e-01	7.573079e-01
81            	7.800083e-01	7.638005e-01
