# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaAverage(p)	weightedAreaAverage(pTotal)
1             	3.512814e+02	4.781293e+02
2             	3.150061e+02	4.442335e+02
3             	1.811953e+02	2.963924e+02
4             	1.419571e+02	2.601252e+02
5             	1.097666e+02	2.017995e+02
6             	8.018660e+01	1.609018e+02
7             	6.125470e+01	1.384328e+02
8             	5.106507e+01	1.256647e+02
9             	4.234371e+01	1.139429e+02
10            	2.747891e+01	9.608691e+01
11            	2.490597e+01	9.264243e+01
12            	2.560598e+01	9.342808e+01
13            	3.030815e+01	9.938822e+01
14            	3.113633e+01	1.005295e+02
15            	3.189016e+01	1.016709e+02
16            	3.283764e+01	1.029532e+02
17            	3.366467e+01	1.040253e+02
18            	3.469412e+01	1.053541e+02
19            	3.554032e+01	1.066706e+02
20            	3.659253e+01	1.080758e+02
21            	3.729308e+01	1.091471e+02
22            	3.785115e+01	1.099452e+02
23            	3.861731e+01	1.108735e+02
24            	3.941146e+01	1.118460e+02
25            	4.017177e+01	1.127671e+02
26            	4.072954e+01	1.134179e+02
27            	4.104947e+01	1.137912e+02
28            	4.125203e+01	1.140461e+02
29            	4.139116e+01	1.142302e+02
30            	4.147075e+01	1.143304e+02
31            	4.153401e+01	1.144044e+02
32            	4.163212e+01	1.145340e+02
33            	4.183414e+01	1.147848e+02
34            	4.214720e+01	1.151752e+02
35            	4.316744e+01	1.164506e+02
36            	4.328939e+01	1.165987e+02
37            	4.357044e+01	1.169469e+02
38            	4.383303e+01	1.172736e+02
39            	4.415979e+01	1.176769e+02
40            	4.443360e+01	1.180169e+02
41            	4.482128e+01	1.184986e+02
42            	4.508987e+01	1.188335e+02
43            	4.547324e+01	1.193117e+02
44            	4.580217e+01	1.197225e+02
45            	4.619986e+01	1.202194e+02
46            	4.658545e+01	1.207015e+02
47            	4.693665e+01	1.211402e+02
48            	4.743160e+01	1.217587e+02
49            	4.794893e+01	1.224049e+02
50            	4.828757e+01	1.228280e+02
51            	4.876403e+01	1.234234e+02
52            	4.917065e+01	1.239317e+02
53            	4.972767e+01	1.246277e+02
54            	5.009829e+01	1.250909e+02
55            	5.049310e+01	1.255843e+02
56            	5.076789e+01	1.259277e+02
57            	5.114664e+01	1.264012e+02
58            	5.133978e+01	1.266428e+02
59            	5.160841e+01	1.269784e+02
60            	5.171630e+01	1.271131e+02
61            	5.183610e+01	1.272631e+02
62            	5.183945e+01	1.272672e+02
63            	5.193233e+01	1.273832e+02
64            	5.199575e+01	1.274627e+02
65            	5.215819e+01	1.276655e+02
66            	5.233380e+01	1.278850e+02
67            	5.249867e+01	1.280912e+02
68            	5.253341e+01	1.281347e+02
69            	5.244968e+01	1.280300e+02
70            	5.223677e+01	1.277642e+02
71            	5.194079e+01	1.273940e+02
72            	5.167038e+01	1.270560e+02
73            	5.149150e+01	1.268325e+02
74            	5.122999e+01	1.265056e+02
75            	5.094064e+01	1.261439e+02
76            	5.045577e+01	1.255378e+02
77            	5.005764e+01	1.250402e+02
78            	4.956215e+01	1.244207e+02
79            	4.922009e+01	1.239932e+02
80            	4.879880e+01	1.234667e+02
81            	4.850809e+01	1.231032e+02
82            	4.815623e+01	1.226635e+02
83            	4.786432e+01	1.222984e+02
84            	4.748687e+01	1.218268e+02
85            	4.704894e+01	1.212793e+02
86            	4.662739e+01	1.207525e+02
87            	4.626652e+01	1.203013e+02
88            	4.589930e+01	1.198423e+02
89            	4.567642e+01	1.195637e+02
90            	4.534450e+01	1.191488e+02
91            	4.521829e+01	1.189910e+02
92            	4.492747e+01	1.186274e+02
93            	4.475375e+01	1.184103e+02
94            	4.443132e+01	1.180072e+02
95            	4.418841e+01	1.177036e+02
96            	4.387273e+01	1.173089e+02
97            	4.365783e+01	1.170404e+02
98            	4.330416e+01	1.165982e+02
99            	4.318527e+01	1.164498e+02
100           	4.281922e+01	1.159921e+02
101           	4.270785e+01	1.158530e+02
102           	4.239752e+01	1.154651e+02
103           	4.216968e+01	1.151803e+02
104           	4.187735e+01	1.148150e+02
105           	4.163324e+01	1.145098e+02
106           	4.132890e+01	1.141295e+02
107           	4.107632e+01	1.138136e+02
108           	4.080876e+01	1.134793e+02
109           	4.061080e+01	1.132317e+02
110           	4.039464e+01	1.129616e+02
111           	4.024107e+01	1.127695e+02
112           	4.005429e+01	1.125362e+02
113           	3.988980e+01	1.123305e+02
114           	3.957108e+01	1.119321e+02
115           	3.923537e+01	1.115123e+02
116           	3.890953e+01	1.111050e+02
117           	3.879611e+01	1.109633e+02
118           	3.840515e+01	1.104744e+02
119           	3.830537e+01	1.103500e+02
120           	3.793879e+01	1.098914e+02
121           	3.784379e+01	1.097730e+02
122           	3.752184e+01	1.093703e+02
123           	3.738496e+01	1.091994e+02
124           	3.713449e+01	1.088862e+02
125           	3.693419e+01	1.086359e+02
126           	3.660778e+01	1.082279e+02
127           	3.642409e+01	1.079983e+02
128           	3.618485e+01	1.076993e+02
129           	3.602697e+01	1.075019e+02
130           	3.586116e+01	1.072946e+02
131           	3.577976e+01	1.071928e+02
132           	3.565239e+01	1.070337e+02
133           	3.556185e+01	1.069204e+02
134           	3.540210e+01	1.067208e+02
135           	3.529634e+01	1.065885e+02
136           	3.513838e+01	1.063912e+02
137           	3.503379e+01	1.062603e+02
138           	3.486591e+01	1.060506e+02
139           	3.474153e+01	1.058950e+02
140           	3.455089e+01	1.056568e+02
141           	3.439896e+01	1.054668e+02
142           	3.416701e+01	1.051770e+02
143           	3.399859e+01	1.049663e+02
144           	3.379900e+01	1.047169e+02
145           	3.368191e+01	1.045705e+02
146           	3.352848e+01	1.043788e+02
147           	3.343327e+01	1.042597e+02
148           	3.329968e+01	1.040928e+02
149           	3.322205e+01	1.039956e+02
150           	3.311407e+01	1.038608e+02
151           	3.306363e+01	1.037976e+02
152           	3.298543e+01	1.037000e+02
153           	3.296069e+01	1.036689e+02
154           	3.289910e+01	1.035921e+02
155           	3.287282e+01	1.035590e+02
156           	3.282880e+01	1.035042e+02
157           	3.286182e+01	1.035453e+02
158           	3.287689e+01	1.035642e+02
159           	3.295078e+01	1.036565e+02
160           	3.299541e+01	1.037124e+02
161           	3.311533e+01	1.038622e+02
162           	3.311364e+01	1.038602e+02
163           	3.322327e+01	1.039971e+02
164           	3.322500e+01	1.039994e+02
165           	3.335230e+01	1.041584e+02
166           	3.334874e+01	1.041540e+02
167           	3.347719e+01	1.043145e+02
168           	3.347713e+01	1.043145e+02
169           	3.357332e+01	1.044347e+02
170           	3.356126e+01	1.044197e+02
171           	3.365419e+01	1.045358e+02
172           	3.367934e+01	1.045673e+02
173           	3.377409e+01	1.046857e+02
174           	3.379643e+01	1.047137e+02
175           	3.392118e+01	1.048695e+02
176           	3.397747e+01	1.049399e+02
177           	3.408273e+01	1.050714e+02
178           	3.413444e+01	1.051362e+02
179           	3.424955e+01	1.052800e+02
180           	3.429401e+01	1.053357e+02
181           	3.437686e+01	1.054391e+02
182           	3.440429e+01	1.054735e+02
183           	3.447476e+01	1.055615e+02
