# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaIntegrate(p)	weightedAreaIntegrate(pTotal)
1             	-1.054567e+01	-1.435371e+01
2             	-1.071763e+01	-1.511441e+01
3             	-7.021389e+00	-1.148532e+01
4             	-5.730078e+00	-1.049992e+01
5             	-4.158138e+00	-7.644495e+00
6             	-3.018659e+00	-6.057217e+00
7             	-2.331546e+00	-5.269185e+00
8             	-1.951044e+00	-4.801275e+00
9             	-1.608810e+00	-4.329156e+00
10            	-1.050523e+00	-3.673417e+00
11            	-9.503777e-01	-3.535108e+00
12            	-9.762735e-01	-3.562112e+00
13            	-1.156579e+00	-3.792719e+00
14            	-1.189373e+00	-3.840115e+00
15            	-1.220211e+00	-3.890226e+00
16            	-1.257629e+00	-3.942942e+00
17            	-1.289894e+00	-3.985830e+00
18            	-1.329992e+00	-4.038728e+00
19            	-1.365307e+00	-4.097828e+00
20            	-1.407082e+00	-4.155808e+00
21            	-1.436381e+00	-4.203913e+00
22            	-1.459081e+00	-4.238153e+00
23            	-1.488313e+00	-4.273071e+00
24            	-1.518702e+00	-4.309933e+00
25            	-1.547649e+00	-4.344442e+00
26            	-1.568581e+00	-4.367965e+00
27            	-1.580567e+00	-4.381411e+00
28            	-1.588398e+00	-4.391315e+00
29            	-1.593882e+00	-4.398752e+00
30            	-1.596958e+00	-4.402641e+00
31            	-1.599328e+00	-4.405309e+00
32            	-1.603189e+00	-4.410528e+00
33            	-1.610948e+00	-4.420127e+00
34            	-1.622993e+00	-4.435138e+00
35            	-1.662285e+00	-4.484263e+00
36            	-1.666925e+00	-4.489812e+00
37            	-1.677710e+00	-4.503123e+00
38            	-1.687802e+00	-4.515650e+00
39            	-1.700318e+00	-4.531003e+00
40            	-1.710833e+00	-4.544021e+00
41            	-1.725723e+00	-4.562471e+00
42            	-1.736053e+00	-4.575334e+00
43            	-1.750801e+00	-4.593713e+00
44            	-1.763462e+00	-4.609522e+00
45            	-1.778770e+00	-4.628644e+00
46            	-1.793617e+00	-4.647209e+00
47            	-1.807135e+00	-4.664089e+00
48            	-1.826188e+00	-4.687893e+00
49            	-1.846100e+00	-4.712755e+00
50            	-1.859136e+00	-4.729045e+00
51            	-1.877478e+00	-4.751961e+00
52            	-1.893134e+00	-4.771531e+00
53            	-1.914576e+00	-4.798321e+00
54            	-1.928843e+00	-4.816146e+00
55            	-1.944043e+00	-4.835143e+00
56            	-1.954621e+00	-4.848360e+00
57            	-1.969205e+00	-4.866591e+00
58            	-1.976644e+00	-4.875901e+00
59            	-1.986984e+00	-4.888817e+00
60            	-1.991134e+00	-4.893992e+00
61            	-1.995751e+00	-4.899777e+00
62            	-1.995879e+00	-4.899934e+00
63            	-1.999453e+00	-4.904396e+00
64            	-2.001898e+00	-4.907463e+00
65            	-2.008150e+00	-4.915268e+00
66            	-2.014911e+00	-4.923720e+00
67            	-2.021259e+00	-4.931656e+00
68            	-2.022599e+00	-4.933341e+00
69            	-2.019375e+00	-4.929307e+00
70            	-2.011183e+00	-4.919086e+00
71            	-1.999784e+00	-4.904825e+00
72            	-1.989373e+00	-4.891812e+00
73            	-1.982487e+00	-4.883210e+00
74            	-1.972418e+00	-4.870623e+00
75            	-1.961278e+00	-4.856696e+00
