# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Time        	areaNormalIntegrate(rhoU)
1             	-3.002056e-02
2             	-3.402357e-02
3             	-3.875038e-02
4             	-4.036485e-02
5             	-3.788163e-02
6             	-3.764543e-02
7             	-3.806313e-02
8             	-3.820703e-02
9             	-3.799407e-02
10            	-3.823015e-02
11            	-3.815862e-02
12            	-3.812678e-02
13            	-3.816065e-02
14            	-3.819888e-02
15            	-3.826293e-02
16            	-3.829838e-02
17            	-3.831595e-02
18            	-3.833478e-02
19            	-3.841571e-02
20            	-3.845271e-02
21            	-3.851602e-02
22            	-3.854787e-02
23            	-3.854004e-02
24            	-3.853453e-02
25            	-3.852579e-02
26            	-3.851212e-02
27            	-3.850396e-02
28            	-3.850472e-02
29            	-3.850778e-02
30            	-3.850805e-02
31            	-3.850646e-02
32            	-3.850847e-02
33            	-3.850796e-02
34            	-3.850774e-02
35            	-3.850784e-02
36            	-3.850654e-02
37            	-3.850569e-02
38            	-3.850527e-02
39            	-3.850377e-02
40            	-3.850314e-02
41            	-3.850231e-02
42            	-3.850207e-02
43            	-3.850179e-02
44            	-3.850170e-02
45            	-3.850163e-02
46            	-3.850167e-02
47            	-3.850158e-02
48            	-3.850151e-02
49            	-3.850137e-02
50            	-3.850134e-02
51            	-3.850129e-02
52            	-3.850129e-02
53            	-3.850123e-02
54            	-3.850118e-02
55            	-3.850116e-02
56            	-3.850114e-02
57            	-3.850115e-02
58            	-3.850121e-02
59            	-3.850116e-02
60            	-3.850109e-02
61            	-3.850117e-02
62            	-3.850116e-02
63            	-3.850113e-02
64            	-3.850119e-02
65            	-3.850114e-02
66            	-3.850114e-02
67            	-3.850115e-02
68            	-3.850120e-02
69            	-3.850118e-02
70            	-3.850128e-02
71            	-3.850122e-02
72            	-3.850122e-02
73            	-3.850125e-02
74            	-3.850124e-02
75            	-3.850124e-02
76            	-3.850124e-02
77            	-3.850125e-02
78            	-3.850122e-02
79            	-3.850123e-02
80            	-3.850128e-02
81            	-3.850123e-02
82            	-3.850126e-02
83            	-3.850121e-02
84            	-3.850127e-02
85            	-3.850126e-02
86            	-3.850129e-02
87            	-3.850127e-02
88            	-3.850128e-02
89            	-3.850126e-02
90            	-3.850125e-02
91            	-3.850126e-02
92            	-3.850124e-02
93            	-3.850125e-02
94            	-3.850123e-02
95            	-3.850126e-02
96            	-3.850122e-02
97            	-3.850126e-02
98            	-3.850122e-02
99            	-3.850127e-02
100           	-3.850123e-02
101           	-3.850127e-02
102           	-3.850129e-02
103           	-3.850128e-02
104           	-3.850132e-02
105           	-3.850128e-02
106           	-3.850134e-02
107           	-3.850128e-02
108           	-3.850133e-02
109           	-3.850127e-02
110           	-3.850132e-02
111           	-3.850127e-02
112           	-3.850132e-02
113           	-3.850128e-02
114           	-3.850128e-02
115           	-3.850126e-02
116           	-3.850124e-02
117           	-3.850127e-02
118           	-3.850121e-02
119           	-3.850129e-02
120           	-3.850120e-02
121           	-3.850129e-02
122           	-3.850122e-02
123           	-3.850128e-02
124           	-3.850125e-02
125           	-3.850127e-02
126           	-3.850126e-02
127           	-3.850127e-02
128           	-3.850128e-02
129           	-3.850126e-02
130           	-3.850128e-02
131           	-3.850125e-02
132           	-3.850127e-02
133           	-3.850125e-02
134           	-3.850128e-02
135           	-3.850125e-02
136           	-3.850127e-02
137           	-3.850125e-02
138           	-3.850127e-02
139           	-3.850124e-02
140           	-3.850127e-02
141           	-3.850125e-02
142           	-3.850128e-02
143           	-3.850124e-02
144           	-3.850128e-02
145           	-3.850124e-02
146           	-3.850128e-02
147           	-3.850124e-02
148           	-3.850128e-02
149           	-3.850124e-02
150           	-3.850128e-02
151           	-3.850122e-02
152           	-3.850128e-02
153           	-3.850122e-02
154           	-3.850127e-02
155           	-3.850122e-02
156           	-3.850126e-02
157           	-3.850122e-02
158           	-3.850125e-02
159           	-3.850122e-02
160           	-3.850124e-02
161           	-3.850123e-02
162           	-3.850126e-02
163           	-3.850123e-02
164           	-3.850125e-02
165           	-3.850123e-02
166           	-3.850125e-02
167           	-3.850123e-02
168           	-3.850125e-02
169           	-3.850123e-02
170           	-3.850126e-02
171           	-3.850123e-02
172           	-3.850125e-02
173           	-3.850123e-02
174           	-3.850125e-02
175           	-3.850123e-02
176           	-3.850125e-02
177           	-3.850123e-02
178           	-3.850126e-02
179           	-3.850123e-02
180           	-3.850127e-02
181           	-3.850122e-02
182           	-3.850127e-02
183           	-3.850122e-02
184           	-3.850126e-02
185           	-3.850122e-02
186           	-3.850126e-02
187           	-3.850122e-02
188           	-3.850126e-02
189           	-3.850122e-02
190           	-3.850126e-02
191           	-3.850122e-02
192           	-3.850126e-02
193           	-3.850122e-02
194           	-3.850126e-02
195           	-3.850122e-02
196           	-3.850125e-02
197           	-3.850122e-02
198           	-3.850126e-02
199           	-3.850122e-02
200           	-3.850126e-02
201           	-3.850119e-02
202           	-3.850128e-02
203           	-3.850120e-02
204           	-3.850128e-02
205           	-3.850121e-02
206           	-3.850128e-02
207           	-3.850121e-02
208           	-3.850128e-02
209           	-3.850121e-02
210           	-3.850129e-02
211           	-3.850121e-02
212           	-3.850129e-02
213           	-3.850121e-02
214           	-3.850129e-02
215           	-3.850121e-02
216           	-3.850129e-02
217           	-3.850121e-02
218           	-3.850129e-02
219           	-3.850121e-02
220           	-3.850129e-02
221           	-3.850121e-02
222           	-3.850129e-02
223           	-3.850121e-02
224           	-3.850129e-02
225           	-3.850121e-02
226           	-3.850129e-02
227           	-3.850121e-02
228           	-3.850129e-02
229           	-3.850121e-02
230           	-3.850129e-02
231           	-3.850121e-02
232           	-3.850129e-02
233           	-3.850121e-02
234           	-3.850129e-02
235           	-3.850121e-02
236           	-3.850129e-02
237           	-3.850120e-02
238           	-3.850129e-02
239           	-3.850121e-02
240           	-3.850129e-02
241           	-3.850120e-02
242           	-3.850129e-02
243           	-3.850120e-02
244           	-3.850127e-02
245           	-3.850121e-02
246           	-3.850129e-02
247           	-3.850121e-02
248           	-3.850129e-02
249           	-3.850122e-02
250           	-3.850129e-02
251           	-3.850122e-02
252           	-3.850128e-02
253           	-3.850122e-02
254           	-3.850129e-02
255           	-3.850122e-02
256           	-3.850129e-02
257           	-3.850122e-02
258           	-3.850129e-02
259           	-3.850123e-02
260           	-3.850129e-02
261           	-3.850122e-02
262           	-3.850129e-02
263           	-3.850122e-02
264           	-3.850128e-02
265           	-3.850123e-02
266           	-3.850129e-02
267           	-3.850123e-02
268           	-3.850128e-02
269           	-3.850123e-02
270           	-3.850129e-02
271           	-3.850122e-02
272           	-3.850128e-02
273           	-3.850123e-02
274           	-3.850129e-02
275           	-3.850123e-02
276           	-3.850128e-02
277           	-3.850123e-02
278           	-3.850129e-02
279           	-3.850124e-02
280           	-3.850128e-02
281           	-3.850123e-02
282           	-3.850128e-02
283           	-3.850124e-02
284           	-3.850129e-02
