# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
1             	9.638289e-01	9.239380e-01	9.239380e-01
2             	9.527817e-01	9.185573e-01	9.185573e-01
3             	9.171527e-01	8.646591e-01	8.646591e-01
4             	8.715613e-01	7.838467e-01	7.838467e-01
5             	9.296567e-01	9.059650e-01	9.059650e-01
6             	9.409346e-01	9.543587e-01	9.543587e-01
7             	9.323210e-01	9.514713e-01	9.514713e-01
8             	9.350844e-01	9.705174e-01	9.705174e-01
9             	9.351420e-01	9.801602e-01	9.801602e-01
10            	9.168415e-01	9.831985e-01	9.831985e-01
11            	9.221582e-01	9.825576e-01	9.825576e-01
12            	9.357137e-01	9.802288e-01	9.802288e-01
13            	9.530670e-01	9.804276e-01	9.804276e-01
14            	9.608442e-01	9.810214e-01	9.810214e-01
15            	9.661995e-01	9.809134e-01	9.809134e-01
16            	9.707595e-01	9.823301e-01	9.823301e-01
17            	9.743162e-01	9.840923e-01	9.840923e-01
18            	9.762303e-01	9.864084e-01	9.864084e-01
19            	9.784683e-01	9.873998e-01	9.873998e-01
20            	9.796019e-01	9.909021e-01	9.909021e-01
21            	9.807055e-01	9.926059e-01	9.926059e-01
22            	9.815951e-01	9.932799e-01	9.932799e-01
23            	9.820655e-01	9.940655e-01	9.940655e-01
24            	9.822319e-01	9.949107e-01	9.949107e-01
25            	9.826567e-01	9.952744e-01	9.952744e-01
26            	9.825592e-01	9.960141e-01	9.960141e-01
27            	9.827805e-01	9.962627e-01	9.962627e-01
28            	9.827357e-01	9.964312e-01	9.964312e-01
29            	9.826380e-01	9.964075e-01	9.964075e-01
30            	9.826894e-01	9.963926e-01	9.963926e-01
31            	9.826486e-01	9.963260e-01	9.963260e-01
32            	9.826384e-01	9.962601e-01	9.962601e-01
33            	9.826065e-01	9.963163e-01	9.963163e-01
34            	9.827463e-01	9.963345e-01	9.963345e-01
35            	9.832315e-01	9.963747e-01	9.963747e-01
36            	9.834709e-01	9.964087e-01	9.964087e-01
37            	9.837698e-01	9.964669e-01	9.964669e-01
38            	9.840817e-01	9.964917e-01	9.964917e-01
39            	9.843300e-01	9.965442e-01	9.965442e-01
40            	9.845054e-01	9.965699e-01	9.965699e-01
41            	9.846508e-01	9.965948e-01	9.965948e-01
42            	9.847684e-01	9.965998e-01	9.965998e-01
43            	9.848935e-01	9.966109e-01	9.966109e-01
44            	9.850289e-01	9.966095e-01	9.966095e-01
45            	9.851563e-01	9.966107e-01	9.966107e-01
46            	9.853139e-01	9.966117e-01	9.966117e-01
47            	9.854215e-01	9.966194e-01	9.966194e-01
48            	9.856124e-01	9.966214e-01	9.966214e-01
49            	9.857743e-01	9.966250e-01	9.966250e-01
50            	9.859026e-01	9.966250e-01	9.966250e-01
51            	9.860450e-01	9.966297e-01	9.966297e-01
52            	9.861922e-01	9.966265e-01	9.966265e-01
53            	9.863509e-01	9.966323e-01	9.966323e-01
54            	9.864863e-01	9.966315e-01	9.966315e-01
55            	9.865886e-01	9.966331e-01	9.966331e-01
56            	9.866882e-01	9.966339e-01	9.966339e-01
57            	9.867865e-01	9.966352e-01	9.966352e-01
58            	9.868630e-01	9.966331e-01	9.966331e-01
59            	9.869247e-01	9.966370e-01	9.966370e-01
60            	9.869779e-01	9.966376e-01	9.966376e-01
61            	9.869994e-01	9.966359e-01	9.966359e-01
62            	9.870221e-01	9.966385e-01	9.966385e-01
63            	9.870356e-01	9.966400e-01	9.966400e-01
64            	9.870758e-01	9.966398e-01	9.966398e-01
65            	9.871068e-01	9.966414e-01	9.966414e-01
66            	9.871743e-01	9.966396e-01	9.966396e-01
67            	9.872063e-01	9.966421e-01	9.966421e-01
68            	9.872359e-01	9.966413e-01	9.966413e-01
69            	9.872018e-01	9.966436e-01	9.966436e-01
70            	9.871660e-01	9.966416e-01	9.966416e-01
71            	9.870712e-01	9.966444e-01	9.966444e-01
72            	9.870183e-01	9.966434e-01	9.966434e-01
73            	9.869551e-01	9.966426e-01	9.966426e-01
74            	9.869034e-01	9.966446e-01	9.966446e-01
75            	9.868093e-01	9.966453e-01	9.966453e-01
76            	9.866936e-01	9.966451e-01	9.966451e-01
77            	9.865629e-01	9.966454e-01	9.966454e-01
78            	9.864375e-01	9.966448e-01	9.966448e-01
79            	9.863197e-01	9.966458e-01	9.966458e-01
80            	9.862135e-01	9.966454e-01	9.966454e-01
81            	9.861062e-01	9.966466e-01	9.966466e-01
82            	9.860186e-01	9.966463e-01	9.966463e-01
83            	9.859084e-01	9.966467e-01	9.966467e-01
84            	9.858115e-01	9.966461e-01	9.966461e-01
85            	9.856496e-01	9.966472e-01	9.966472e-01
86            	9.855316e-01	9.966467e-01	9.966467e-01
87            	9.853900e-01	9.966474e-01	9.966474e-01
88            	9.852862e-01	9.966469e-01	9.966469e-01
89            	9.851893e-01	9.966476e-01	9.966476e-01
90            	9.850939e-01	9.966470e-01	9.966470e-01
91            	9.850298e-01	9.966478e-01	9.966478e-01
92            	9.849464e-01	9.966474e-01	9.966474e-01
93            	9.848651e-01	9.966480e-01	9.966480e-01
94            	9.847669e-01	9.966473e-01	9.966473e-01
95            	9.846588e-01	9.966481e-01	9.966481e-01
96            	9.845600e-01	9.966475e-01	9.966475e-01
97            	9.844608e-01	9.966481e-01	9.966481e-01
98            	9.843434e-01	9.966474e-01	9.966474e-01
99            	9.842799e-01	9.966481e-01	9.966481e-01
100           	9.841546e-01	9.966474e-01	9.966474e-01
101           	9.840922e-01	9.966481e-01	9.966481e-01
102           	9.839889e-01	9.966474e-01	9.966474e-01
103           	9.838741e-01	9.966479e-01	9.966479e-01
104           	9.837775e-01	9.966473e-01	9.966473e-01
105           	9.836525e-01	9.966479e-01	9.966479e-01
106           	9.835477e-01	9.966473e-01	9.966473e-01
107           	9.834161e-01	9.966478e-01	9.966478e-01
108           	9.833243e-01	9.966472e-01	9.966472e-01
109           	9.832140e-01	9.966480e-01	9.966480e-01
110           	9.831426e-01	9.966474e-01	9.966474e-01
111           	9.830502e-01	9.966479e-01	9.966479e-01
112           	9.829907e-01	9.966474e-01	9.966474e-01
113           	9.828921e-01	9.966481e-01	9.966481e-01
114           	9.827678e-01	9.966476e-01	9.966476e-01
115           	9.825887e-01	9.966481e-01	9.966481e-01
116           	9.824566e-01	9.966475e-01	9.966475e-01
117           	9.823818e-01	9.966484e-01	9.966484e-01
118           	9.822106e-01	9.966477e-01	9.966477e-01
119           	9.821443e-01	9.966483e-01	9.966483e-01
120           	9.819782e-01	9.966476e-01	9.966476e-01
121           	9.819137e-01	9.966484e-01	9.966484e-01
122           	9.817664e-01	9.966477e-01	9.966477e-01
123           	9.816773e-01	9.966482e-01	9.966482e-01
124           	9.815671e-01	9.966475e-01	9.966475e-01
125           	9.814394e-01	9.966483e-01	9.966483e-01
126           	9.812871e-01	9.966476e-01	9.966476e-01
127           	9.811640e-01	9.966481e-01	9.966481e-01
128           	9.810566e-01	9.966474e-01	9.966474e-01
129           	9.809435e-01	9.966482e-01	9.966482e-01
130           	9.808758e-01	9.966476e-01	9.966476e-01
131           	9.808042e-01	9.966480e-01	9.966480e-01
132           	9.807587e-01	9.966474e-01	9.966474e-01
133           	9.806806e-01	9.966482e-01	9.966482e-01
134           	9.806149e-01	9.966476e-01	9.966476e-01
135           	9.805269e-01	9.966480e-01	9.966480e-01
136           	9.804614e-01	9.966474e-01	9.966474e-01
137           	9.803731e-01	9.966482e-01	9.966482e-01
138           	9.803002e-01	9.966476e-01	9.966476e-01
139           	9.801989e-01	9.966480e-01	9.966480e-01
140           	9.801115e-01	9.966475e-01	9.966475e-01
141           	9.799913e-01	9.966482e-01	9.966482e-01
142           	9.798759e-01	9.966477e-01	9.966477e-01
143           	9.797428e-01	9.966481e-01	9.966481e-01
144           	9.796449e-01	9.966475e-01	9.966475e-01
145           	9.795426e-01	9.966482e-01	9.966482e-01
146           	9.794723e-01	9.966477e-01	9.966477e-01
147           	9.793823e-01	9.966481e-01	9.966481e-01
148           	9.793244e-01	9.966476e-01	9.966476e-01
149           	9.792445e-01	9.966482e-01	9.966482e-01
150           	9.792018e-01	9.966477e-01	9.966477e-01
151           	9.791400e-01	9.966481e-01	9.966481e-01
152           	9.791168e-01	9.966475e-01	9.966475e-01
153           	9.790716e-01	9.966482e-01	9.966482e-01
154           	9.790591e-01	9.966477e-01	9.966477e-01
155           	9.790132e-01	9.966480e-01	9.966480e-01
156           	9.790123e-01	9.966475e-01	9.966475e-01
157           	9.790058e-01	9.966482e-01	9.966482e-01
158           	9.790441e-01	9.966476e-01	9.966476e-01
159           	9.790657e-01	9.966480e-01	9.966480e-01
160           	9.791236e-01	9.966474e-01	9.966474e-01
161           	9.791758e-01	9.966482e-01	9.966482e-01
162           	9.792021e-01	9.966476e-01	9.966476e-01
163           	9.792463e-01	9.966480e-01	9.966480e-01
164           	9.792753e-01	9.966474e-01	9.966474e-01
165           	9.793309e-01	9.966481e-01	9.966481e-01
166           	9.793560e-01	9.966475e-01	9.966475e-01
167           	9.794119e-01	9.966479e-01	9.966479e-01
168           	9.794393e-01	9.966473e-01	9.966473e-01
169           	9.794741e-01	9.966481e-01	9.966481e-01
170           	9.794934e-01	9.966475e-01	9.966475e-01
171           	9.795259e-01	9.966479e-01	9.966479e-01
172           	9.795690e-01	9.966473e-01	9.966473e-01
173           	9.796025e-01	9.966481e-01	9.966481e-01
174           	9.796436e-01	9.966475e-01	9.966475e-01
175           	9.796955e-01	9.966479e-01	9.966479e-01
176           	9.797577e-01	9.966473e-01	9.966473e-01
177           	9.797967e-01	9.966481e-01	9.966481e-01
178           	9.798557e-01	9.966475e-01	9.966475e-01
179           	9.799002e-01	9.966479e-01	9.966479e-01
180           	9.799549e-01	9.966474e-01	9.966474e-01
181           	9.799784e-01	9.966481e-01	9.966481e-01
182           	9.800223e-01	9.966476e-01	9.966476e-01
183           	9.800379e-01	9.966479e-01	9.966479e-01
184           	9.800803e-01	9.966474e-01	9.966474e-01
185           	9.801072e-01	9.966481e-01	9.966481e-01
186           	9.801568e-01	9.966476e-01	9.966476e-01
187           	9.801867e-01	9.966479e-01	9.966479e-01
188           	9.802455e-01	9.966474e-01	9.966474e-01
189           	9.802729e-01	9.966482e-01	9.966482e-01
190           	9.803209e-01	9.966476e-01	9.966476e-01
191           	9.803362e-01	9.966480e-01	9.966480e-01
192           	9.803747e-01	9.966475e-01	9.966475e-01
193           	9.803786e-01	9.966481e-01	9.966481e-01
194           	9.804256e-01	9.966476e-01	9.966476e-01
195           	9.804445e-01	9.966480e-01	9.966480e-01
196           	9.804997e-01	9.966474e-01	9.966474e-01
197           	9.805299e-01	9.966481e-01	9.966481e-01
198           	9.805755e-01	9.966476e-01	9.966476e-01
199           	9.805895e-01	9.966479e-01	9.966479e-01
200           	9.806336e-01	9.966474e-01	9.966474e-01
201           	9.806345e-01	9.966482e-01	9.966482e-01
202           	9.806636e-01	9.966476e-01	9.966476e-01
203           	9.807048e-01	9.966481e-01	9.966481e-01
204           	9.807486e-01	9.966473e-01	9.966473e-01
205           	9.808007e-01	9.966482e-01	9.966482e-01
206           	9.808340e-01	9.966474e-01	9.966474e-01
207           	9.808627e-01	9.966480e-01	9.966480e-01
208           	9.808857e-01	9.966472e-01	9.966472e-01
209           	9.809087e-01	9.966482e-01	9.966482e-01
210           	9.809316e-01	9.966474e-01	9.966474e-01
211           	9.809491e-01	9.966480e-01	9.966480e-01
212           	9.809779e-01	9.966472e-01	9.966472e-01
213           	9.810044e-01	9.966482e-01	9.966482e-01
214           	9.810317e-01	9.966474e-01	9.966474e-01
215           	9.810733e-01	9.966480e-01	9.966480e-01
216           	9.811062e-01	9.966472e-01	9.966472e-01
217           	9.811494e-01	9.966482e-01	9.966482e-01
218           	9.811806e-01	9.966474e-01	9.966474e-01
219           	9.812106e-01	9.966480e-01	9.966480e-01
220           	9.812638e-01	9.966473e-01	9.966473e-01
221           	9.813056e-01	9.966482e-01	9.966482e-01
222           	9.813288e-01	9.966474e-01	9.966474e-01
223           	9.813577e-01	9.966480e-01	9.966480e-01
224           	9.814013e-01	9.966473e-01	9.966473e-01
225           	9.814261e-01	9.966482e-01	9.966482e-01
226           	9.814503e-01	9.966474e-01	9.966474e-01
227           	9.814739e-01	9.966481e-01	9.966481e-01
228           	9.815096e-01	9.966474e-01	9.966474e-01
229           	9.815390e-01	9.966483e-01	9.966483e-01
230           	9.815617e-01	9.966475e-01	9.966475e-01
